Date Published,Passenger Country,Trip_verified,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,ryanair_review,exclamation_marks,question_marks,comment_length,never,again,online,delayed,cheap,legroom,Sentiment,Year Published,Month Published,Day Published,Year Flown,Month Flown,Day Flown
2018-12-24,Denmark,Not Verified,Missing,Solo Leisure,Economy Class,Copenhagen,Bologna,1.0,2.0,1.0,1.0,2.0,no,1.0,1.0,False,-0.43995890559532946,1.7457718053803446,0.07433632562121058,False,False,False,False,True,False,-1,2018,12,24,2018.0,11.0,1.0
2021-11-12,United States,Trip Verified,Missing,Family Leisure,Economy Class,Crete,Athens,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,3.1756879305423493,-0.2682527408267359,5.993909979609289,True,True,True,False,False,False,-1,2021,11,12,2021.0,9.0,1.0
2013-09-04,United Kingdom,Missing,Missing,,Economy Class,,,2.0,1.0,0.0,,4.0,no,-1.0,-1.0,True,0.7652567064505633,-0.2682527408267359,0.04862699379064346,False,True,False,False,False,False,-1,2013,9,4,,,
2014-08-14,Netherlands,Missing,Missing,,Economy Class,,,1.0,3.0,3.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.44069430420679195,False,True,False,False,False,False,0,2014,8,14,,,
2015-12-17,Netherlands,Missing,Boeing 737-800,Solo Leisure,Economy Class,Amsterdam,Dublin,3.0,4.0,-1.0,4.0,4.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.4698445314591267,False,True,False,False,False,False,0,2015,12,17,2015.0,12.0,1.0
2013-10-01,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,4.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.9326125044093347,False,False,False,False,False,False,1,2013,10,1,,,
2013-10-07,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,0.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,1.7457718053803446,0.7663458407273088,True,True,False,False,True,False,0,2013,10,7,,,
2014-12-31,United States,Missing,Missing,,Economy Class,,,2.0,3.0,2.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.8790513964289867,False,False,False,False,True,False,1,2014,12,31,,,
2022-02-01,Israel,Trip Verified,Boeing 737-800,Family Leisure,Economy Class,Brussels,Tel Aviv,3.0,5.0,5.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.6176731894848876,False,False,False,False,True,False,1,2022,2,1,2022.0,2.0,1.0
2018-08-15,Germany,Trip Verified,Boeing 737-800,Solo Leisure,Economy Class,Cologne,Berlin,2.0,2.0,-1.0,3.0,3.0,no,-1.0,-1.0,False,-0.43995890559532946,1.7457718053803446,-0.19132676996131628,False,False,False,True,False,False,0,2018,8,15,2018.0,8.0,1.0
2024-01-07,United Kingdom,Trip Verified,Boeing 737,Solo Leisure,Economy Class,Faro,Liverpool,3.0,2.0,1.0,3.0,3.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.9720204953718456,False,False,False,True,False,False,0,2024,1,7,2024.0,1.0,1.0
2017-10-13,United Kingdom,Verified Review,Boeing 737,Couple Leisure,Economy Class,Liverpool,Dublin,4.0,5.0,-1.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,2.1032310959167986,False,True,True,False,False,False,0,2017,10,13,2017.0,10.0,1.0
2019-12-20,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,London,Budapest,1.0,,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.3391554279870772,False,False,False,False,False,False,-1,2019,12,20,2019.0,12.0,1.0
2015-03-04,United Kingdom,Missing,Missing,,Economy Class,,,3.0,1.0,2.0,,2.0,no,-1.0,-1.0,True,0.7652567064505633,-0.2682527408267359,-0.31987342911415184,False,False,False,False,False,False,-1,2015,3,4,,,
2013-10-29,United Kingdom,Missing,Missing,,Economy Class,,,4.0,1.0,1.0,,0.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.5576847485468976,True,False,False,False,False,False,-1,2013,10,29,,,
2015-07-13,Germany,Missing,Boeing 737,Solo Leisure,Economy Class,Frankfurt,London,3.0,3.0,-1.0,3.0,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.7997809566180714,False,False,False,False,False,False,1,2015,7,13,2015.0,7.0,1.0
2016-01-19,Australia,Missing,Missing,Couple Leisure,Economy Class,Rome,Barcelona,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,1.970472318496456,-0.2682527408267359,0.5199647440177072,False,False,True,False,False,False,-1,2016,1,19,2016.0,1.0,1.0
2024-01-26,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,Belfast,Alicante,3.0,5.0,3.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-1.155426713607583,False,False,False,False,False,False,1,2024,1,26,2024.0,1.0,1.0
2017-08-19,Poland,Verified Review,Boeing 737-800,Family Leisure,Economy Class,Wroclaw,Warsaw,3.0,1.0,-1.0,3.0,4.0,yes,1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,1.1177067090783928,False,False,False,False,False,True,-1,2017,8,19,2017.0,8.0,1.0
2020-05-13,United Kingdom,Not Verified,Missing,Couple Leisure,Economy Class,Bristol,Lanzarote,1.0,,-1.0,,1.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-0.08420455400061996,False,True,False,False,False,False,-1,2020,5,13,2020.0,5.0,1.0
2017-06-03,United Kingdom,Verified Review,Missing,Couple Leisure,Economy Class,London,Athens,1.0,4.0,-1.0,3.0,3.0,yes,1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.1356232176617542,False,False,False,False,False,False,1,2017,6,3,2017.0,5.0,1.0
2018-09-02,Spain,Trip Verified,Missing,Couple Leisure,Economy Class,Santiago de Compostela,Barcelona,2.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,1.456212911514193,False,False,False,False,False,False,-1,2018,9,2,2018.0,8.0,1.0
2012-09-03,United Kingdom,Missing,Missing,,Economy Class,,,2.0,2.0,2.0,,1.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.005778107406364935,True,True,False,False,True,False,-1,2012,9,3,,,
2014-05-12,United Kingdom,Missing,Missing,,Economy Class,,,3.0,4.0,3.0,,2.0,no,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.2406029893032366,False,False,False,True,False,False,-1,2014,5,12,,,
2016-03-14,United Kingdom,Missing,Missing,Solo Leisure,Economy Class,Nuremberg,London,2.0,1.0,3.0,4.0,3.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.5306769656137769,False,False,False,False,False,False,-1,2016,3,14,2016.0,3.0,1.0
2021-07-12,Italy,Trip Verified,Missing,Couple Leisure,Economy Class,Budapest,Rome,1.0,3.0,-1.0,3.0,3.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,0.7213545100238163,False,True,False,False,False,False,-1,2021,7,12,2021.0,7.0,1.0
2018-07-28,United Kingdom,Trip Verified,Missing,Solo Leisure,Economy Class,Paphos,London,2.0,4.0,-1.0,2.0,3.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.410700083737797,False,False,False,True,False,False,0,2018,7,28,2018.0,7.0,1.0
2019-09-30,Australia,Trip Verified,Missing,Couple Leisure,Economy Class,Dublin,Split,4.0,3.0,-1.0,1.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.6455249656346687,False,False,True,False,False,False,-1,2019,9,30,2019.0,9.0,1.0
2014-01-21,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,3.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.1836009859011208,False,False,False,False,False,False,1,2014,1,21,,,
2022-11-05,United Kingdom,Trip Verified,Boeing 737,Solo Leisure,Economy Class,Fuerteventura,London,1.0,3.0,2.0,3.0,3.0,yes,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,1.599756680901526,False,True,False,False,False,False,0,2022,11,5,2022.0,11.0,1.0
2013-09-02,United Kingdom,Missing,Missing,,Economy Class,,,4.0,5.0,4.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.6048185235696041,False,True,False,False,False,False,0,2013,9,2,,,
2014-02-04,United Kingdom,Missing,Missing,,Economy Class,,,2.0,3.0,0.0,,5.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,0.33999942120373744,True,False,False,False,False,True,-1,2014,2,4,,,
2016-09-29,Netherlands,Verified Review,Boeing 737,Solo Leisure,Economy Class,Berlin,Cologne,5.0,4.0,-1.0,3.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.004934114189704696,False,False,False,False,False,True,1,2016,9,29,2016.0,9.0,1.0
2016-02-02,United Kingdom,Missing,Missing,Family Leisure,Economy Class,Birmingham,Dublin,3.0,5.0,3.0,4.0,5.0,yes,2.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.4955538632896938,False,True,False,False,False,False,1,2016,2,2,2016.0,1.0,1.0
2018-06-10,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,Palma de Mallorca,London,2.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,1.7457718053803446,0.10433054609020555,False,False,False,True,False,False,-1,2018,6,10,2018.0,6.0,1.0
2018-07-02,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,East Midlands,Palma de Mallorca,4.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-1.0333073874123893,False,False,False,False,False,False,-1,2018,7,2,2018.0,6.0,1.0
2015-05-01,United Kingdom,Missing,Missing,,Economy Class,,,4.0,4.0,0.0,,5.0,yes,-1.0,-1.0,True,0.7652567064505633,-0.2682527408267359,-0.3884316473289975,False,True,False,True,False,False,1,2015,5,1,,,
2015-09-19,Spain,Missing,Missing,Couple Leisure,Economy Class,Valencia,Bari,3.0,5.0,-1.0,4.0,4.0,yes,-1.0,-1.0,False,-0.43995890559532946,1.7457718053803446,-0.6626645201883801,False,False,False,False,False,False,1,2015,9,19,2015.0,9.0,1.0
2019-08-26,United Kingdom,Trip Verified,Missing,Couple Leisure,Economy Class,Alicante,Liverpool,2.0,3.0,1.0,1.0,3.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-1.0568742749237425,True,False,False,False,False,False,-1,2019,8,26,2019.0,8.0,1.0
2019-07-30,France,Not Verified,Missing,Solo Leisure,Economy Class,Birmingham,Barcelona,3.0,3.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,5.586119154634135,-0.2682527408267359,-0.5941063019735344,False,False,False,False,False,False,-1,2019,7,30,2019.0,7.0,1.0
2019-04-27,Mexico,Trip Verified,Missing,Business,Economy Class,Krakow,Rome,1.0,1.0,1.0,1.0,1.0,no,1.0,1.0,False,0.7652567064505633,-0.2682527408267359,-0.7419349599992954,True,True,True,False,False,False,-1,2019,4,27,2019.0,4.0,1.0
