date,user,location,text
2023-02-18 16:30:11,EveningExpress,"Aberdeen, Scotland","Yvie Burnett has been rubbing shoulders with the celebs once again this week.

@Harry_Styles #britawards

https://t.co/qLpBE0BKFH"
2023-02-18 11:34:15,T_McSherry_DLS,,"BRIT AWARDS 2023 

#BRITs #britawards https://t.co/4Gb31WQgnw"
2023-02-18 07:01:01,stephencorrall,Edinburgh,"This is just too good! #WetLeg #britawards 

Wet Leg – Chaise Longue (Live at the BRIT Awards 2023)… https://t.co/J2BrPulyk3"
2023-02-18 00:58:00,mala_hp,.,the awards for singing.heartbreak feeling. did i see the #britawards #britawards2023 #Daffodils #HarryStyles #adel… https://t.co/Tw1v0Iim3v
2023-02-18 00:38:30,TanyaAn35180018,,It’s ask not arks #britawards
2023-02-18 00:27:52,freethinkinvybz,a pod in the universe,"#TikTok literally blew all the songs up, for best song of the year…. Facts 🤓 #britawards"
2023-02-18 00:09:32,congobongoman,Congleton,"Watching the Brit awards (know I'm 6 days late).
How shit, the 1975; Tom Grennan - 'alternative / rock'? WTF, they… https://t.co/9VPmBkd0NZ"
2023-02-18 00:02:04,TRextasyBand,"London & South East, UK",Tried to watch #britawards on #itv1 but so annoying that they always get comedians to present with no clue. Not to… https://t.co/cgaO0etH4W
2023-02-17 23:57:12,elliottrichmond,Cheltenham,Yes!!! Wet Leg win something at last! #britawards
2023-02-17 23:52:59,aliyxha,,Being out my men phase is easy when maya jama Looks like that #britawards
2023-02-17 23:46:12,ErikaB_Writes,London,"Watched a few minutes of the #BritAwards. Harry Styles - vapid sheep, no true emotion or conviction to anything he… https://t.co/09XsKcuSpj"
2023-02-17 23:15:49,beeza444,"Barnsley, England",Just watching #britawards !! first time since 90s!! what the hell as happened?? 🤣🤣 Jeez it’s a million miles away f… https://t.co/bjghL6tmio
2023-02-17 21:33:14,VaVadsmother,Saint-Petersburg ,"Randy Crawford (born February 18, 1952) is an American jazz and R&amp;B singer. She has been more successful in Europe.… https://t.co/kTnmMteqUK"
2023-02-17 21:23:17,VaVadsmother,Saint-Petersburg ,"Randy Crawford (born February 18, 1952) is an American jazz and R&amp;B singer. She has been more successful in Europe.… https://t.co/EOlQOtVtKX"
2023-02-17 20:50:30,beerlanguage,she/her,at least support my tiktok 🫶😂 @BRITs #britawards https://t.co/xMxudrMYGG
2023-02-17 20:09:00,sitefannaticos,,Performance de Sam Smith e Kim Petras no BRIT Awards 2023 gera backlash. Clique no link para saber mais:… https://t.co/AGHykxHLvG
2023-02-17 18:08:01,ickttmpodcast,"Sheffield, England","New episode is out!! This week we are talking all things Grammys, Brits and Super Bowl and discuss the highlights,… https://t.co/gCvLOI6Avl"
2023-02-17 15:49:18,SpaceTraceRBLX,Roblox,"Sam Smith's #Roblox avatar is adorable 😍

#britawards2023 #britawards #robloxart #robloxavatar #RobloxUGC https://t.co/5Da2Ar7uEo"
2023-02-17 15:16:42,SinghZeldon,Sydney Australia,Today 2004 THE GOAT QUEEN BEY WON BEST INTERNATIONAL FEMALE SOLO ARTIST AT THE BRIT AWARDS AND DAZZLING PERFORMED C… https://t.co/DKJoOAachH
2023-02-17 15:14:52,HumanityBytes,UK,"Sam Smith at The Brit Awards 2023.

#SamSmith #TheBritAwards #BritAwards #BritAwards2023 https://t.co/KiHNvAOdCl"
2023-02-17 14:11:52,HillsideComics,My own personal hell,"This weeks Gymwits features our first special guest, @samsmith, straight from slaying it at the 2023 Brit Awards!… https://t.co/fSreV1NLHp"
2023-02-17 12:51:23,brckmrly,Australia,This week's episode has just dropped. #podcast #podcasts #podcasting #PopCulture #comedy #SamSmith #britawards… https://t.co/1dQttNtCXT
2023-02-16 22:13:14,frankie_funke,"Los Angeles, CA","Drawing Sam Smith at the Brit Awards ✨✨Inflatable latex realness 

@samsmith #britawards #latex #fashion #unholy https://t.co/NhES3clVAP"
2023-02-16 21:15:23,kbutlv,,#Rihanna debuted her baby bump at #SuperBowl2023! Snow in #LasVegas. #MichiganState Shooting. NYC dogs get high!… https://t.co/Pi7lleDLTp
2023-02-16 21:08:58,mermaidnes,,He mentionned the boys 😢 i think that tonight i'm returning to my 1D fangirl years 😅 thanks Harry ❤  #HarryStyles… https://t.co/des8AuGUgu
2023-02-16 20:15:11,supatex,United Kingdom,@harri_ks is breaking the internet with his inflatable latex outfit for @samsmith at @BRITs! We are so proud to hav… https://t.co/3PpjenANp6
2023-02-16 17:43:54,officialmsmag,,"Sam Smith And Kim Petras’ BRIT Awards 2023 Performance Sparks Controversy 
https://t.co/VmTEvDAffE
.
.
#SamSmith… https://t.co/r5dthadnU4"
2023-02-16 16:32:09,concert_next,"Florida, USA",#Culture #Pride #Awards #britawards #Pop Sam Smith &amp; Kim Petras Court Controversy Yet Again Following ‘Unholy’ Brit… https://t.co/Lq0hp43viH
2023-02-16 16:03:15,AHintOfLimeVP,"Birmingham, England","The O2 Arena, one of our member venues, hosted the BRIT Awards on the 11th of February!

The event was catered for… https://t.co/sSo00o2B0k"
2023-02-16 13:01:44,hotboxevents,"Hampshire, UK","See the stars of the #BRITAwards this summer without it costing a penny! 😍

We don't charge any admin fees on depos… https://t.co/6vF2ZEd9uU"
2023-02-16 12:56:26,TheRANtGroup,London,"Sending a big shoutout to @riskrecon, a Mastercard Company, for inviting our co-founder Richard to the @BRITs last… https://t.co/AtIWzSXOTg"
2023-02-16 12:55:55,myfizzypop,England,Happy 30th to the inaugural performance of #AndyBell and #KDLang's duet on #NoMoreTears (#EnoughisEnough) - sung… https://t.co/ou0IngoUFG
