,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
17,379,0.03706544560614045,17,6,0.5926967238793935,0.552893089071328,9.83433140894843,0.4704006344460384,3.9882444244455306,0.8086332633271525,-1.1821778217613204,0.031292346010081296,1
19,437,0.0941523264489604,8,7,0.3486659872917294,0.8095010461397154,6.757001170392807,0.837810105907328,7.3521611924077215,0.9618655109142076,-1.183204189565349,0.029666263655082688,2
22,1975,0.016262871409461376,6,8,0.6420316461542878,0.7798755458576239,3.7229276656174313,0.5807866214364547,9.401334424577785,0.8414996499504883,-1.1855176520725152,0.030325446163931187,3
90,485,0.04155045842036277,11,6,0.603721531730139,0.7877898887144924,4.808469780890736,0.4658001223188132,9.184547249393011,1.1427730005568775,-1.1895339212538965,0.03176286225138151,4
94,293,0.07765276166950107,15,18,0.5648411332626164,0.47206694510999925,4.810979483875859,0.5345558912572469,4.9701194882124895,0.6571863942835237,-1.1897320803031728,0.036835642605530614,5
7,620,0.08031969807540397,1,7,0.5426960831582485,0.28093450968738076,1.987256815341724,0.7723447692966574,0.05522117123602399,1.4093422497476265,-1.1911754843247768,0.028997199091329924,6
36,1011,0.03124133093912942,5,12,0.09179906581344188,0.3418796667164016,4.916258751168323,0.09793416065100148,4.734717707805657,0.9416698826856011,-1.1929623403651135,0.024757644007875425,7
39,1391,0.0812204176736003,11,5,0.5733670416719333,0.6771683423829817,9.612005638239141,0.38620263780077424,9.053506419560637,1.2851035323391018,-1.1941034928397989,0.029112887802898547,8
18,759,0.05091987767407187,16,3,0.7983451249845511,0.8164318732193839,2.202510475655483,0.32605890520188474,7.111495324380178,1.5072754396542947,-1.1944309162594515,0.033437136507540245,9
45,990,0.009270414725848108,12,20,0.49302565777180496,0.48252094964264247,9.462045428816902,0.21282789502422894,7.812960504712025,0.8329441119525964,-1.2009327315016212,0.030757194696882546,10
28,1509,0.06721435168240507,2,10,0.0704161308495439,0.9300168348108319,8.486797949246744,0.3226507642386005,1.3662133144202881,2.089287176153602,-1.2024411825625971,0.027487432064157765,11
32,976,0.06238904758190003,4,6,0.7699935530986108,0.5222432600548044,4.1136390505667855,0.19448003399487301,6.995122107671938,2.1583102749684318,-1.2084853532496083,0.029098998852521804,12
72,1500,0.049924769784894026,6,5,0.6075552222935728,0.8996473971450123,1.0179247262040374,0.23732679173599447,1.5285913918433203,2.4436315546465455,-1.2085516052058147,0.03235753529353865,13
51,771,0.09642225394406113,12,13,0.8685991281894603,0.28571208628186073,3.226963882775837,0.5561050386425845,0.4340078329817276,2.2360583851945264,-1.2142833152781058,0.03144120598463213,14
86,495,0.042459686242048295,14,11,0.3425242571785434,0.9590747945640278,1.3912619414306187,0.9119524088429647,1.007946030158865,2.2736098302998706,-1.215176886723087,0.029247024009744944,15
92,1484,0.05161736824068126,17,20,0.22009721408109706,0.2775871726294181,4.146341237270237,0.14876272775311294,0.8534966807864386,2.1269078434122632,-1.2160381491214909,0.02439757796432012,16
52,1356,0.06964111231066476,18,15,0.9191157152786594,0.924643330223596,2.945039468394299,0.2169091065864912,9.958313750293707,2.5300016798924116,-1.2200018065050735,0.03407051611724309,17
75,823,0.09689940665042343,4,19,0.8385825587026248,0.476619484126412,2.4241973241508026,0.507710378684455,1.1483682473920354,2.050875601494591,-1.2202251838871432,0.029651468215747594,18
37,901,0.06168500980522165,5,4,0.43385164923797304,0.17320186991001518,0.15314540290384748,0.26099362334171394,9.33436308079483,3.985147343973735,-1.2281418681715728,0.02366667314414114,19
41,1198,0.049703745429340626,18,13,0.34062456946424,0.6816136689727897,7.350810438038858,0.8775720135270529,8.034809303848485,2.607045282359031,-1.2295228891385797,0.026213849211480043,20
