,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
1016,140,uniform,kd_tree,87,14.787521716408692,euclidean,-1.329402942625584,0.06666152657863443,1
902,140,uniform,kd_tree,88,23.93322184226513,minkowski,-1.329402942625584,0.06666152657863443,1
1490,140,uniform,ball_tree,98,6.040601565780357,manhattan,-1.3310903639750127,0.06465142848031151,3
840,140,uniform,ball_tree,102,22.25469092478392,euclidean,-1.331134392395422,0.06462724980576676,4
308,140,uniform,ball_tree,103,8.16331437304907,euclidean,-1.331134392395422,0.06462724980576676,4
931,140,uniform,ball_tree,103,1.543721231371892,euclidean,-1.331134392395422,0.06462724980576676,4
516,140,uniform,ball_tree,87,3.162530079960201,minkowski,-1.3311597647832845,0.06463093199258041,7
862,143,uniform,kd_tree,47,30.461486110478877,minkowski,-1.331584014578405,0.06522209345135395,8
686,143,uniform,kd_tree,65,6.020791994158839,minkowski,-1.331584014578405,0.06522209345135395,8
636,143,uniform,kd_tree,41,27.31718371486601,minkowski,-1.331584014578405,0.06522209345135395,8
441,143,uniform,kd_tree,78,8.70329703161524,euclidean,-1.3317511231883317,0.06598361832805397,11
1132,143,uniform,kd_tree,76,30.214012400714484,euclidean,-1.3317511231883317,0.06598361832805397,11
173,140,uniform,kd_tree,149,17.03270511197569,manhattan,-1.3318814301804043,0.06255502296333651,13
989,140,uniform,kd_tree,150,20.078209804801325,minkowski,-1.3318814301804043,0.06255502296333651,13
586,140,uniform,kd_tree,198,13.858916409114272,manhattan,-1.3318814301804043,0.06255502296333651,13
1190,140,uniform,kd_tree,181,13.081111629836807,minkowski,-1.3318814301804043,0.06255502296333651,13
303,141,uniform,kd_tree,108,1.7320234466961406,manhattan,-1.3318954074931848,0.06616746563188937,17
478,141,uniform,kd_tree,105,29.108734690931882,euclidean,-1.3318954074931848,0.06616746563188937,17
594,141,uniform,kd_tree,113,2.9561377378147613,minkowski,-1.3318954074931848,0.06616746563188937,17
1236,141,uniform,kd_tree,117,20.318697383428407,minkowski,-1.3318954074931848,0.06616746563188937,17
1115,142,uniform,ball_tree,6,25.85464401685723,minkowski,-1.3318997682821103,0.06599430656577691,21
895,145,uniform,kd_tree,73,24.991562918945835,euclidean,-1.3324602769328782,0.06148883220090482,22
757,141,uniform,ball_tree,141,7.359821640959742,minkowski,-1.3327478416552203,0.06312784893402085,23
620,142,uniform,ball_tree,87,21.82451720529493,minkowski,-1.3329254893673261,0.06319048956844911,24
881,140,uniform,ball_tree,164,7.6145108041991225,minkowski,-1.3329538416326963,0.06332146769521893,25
1047,140,uniform,ball_tree,182,24.880222072818498,minkowski,-1.3329844649509637,0.06327909194373038,26
1228,141,uniform,kd_tree,22,19.902793805849903,minkowski,-1.333186935324059,0.06733882032139812,27
101,143,uniform,ball_tree,69,19.475534931697414,euclidean,-1.3333256754396339,0.06537731664485667,28
1371,142,uniform,ball_tree,110,20.047199774594883,manhattan,-1.3333735609683168,0.06436060011446017,29
541,142,uniform,ball_tree,108,30.754298540480903,euclidean,-1.3334215302235883,0.06438014224843275,30
