,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
14,565,,93,27,18,False,0.5240780000111898,0.016870715496676014,1
12,941,,47,18,14,False,0.5234763849537438,0.008071233123893354,2
114,643,,58,32,14,False,0.5234652096285106,0.008061448450488349,3
50,633,,99,27,16,False,0.5193681421156232,0.009209528317699812,4
83,613,,30,20,17,False,0.5185996639385515,0.012709980303336478,5
70,971,,32,24,22,False,0.5179361005476245,0.011127362348392955,6
77,707,,87,26,22,False,0.5179361005476245,0.011127362348392955,6
138,892,,46,19,6,True,0.513311855100725,0.015243687998816096,8
22,789,,41,9,9,False,0.5131589967416036,0.011907918093729675,9
85,650,,23,13,9,False,0.5131589967416036,0.011907918093729675,9
94,451,,34,20,10,True,0.512053013135496,0.011970598491618387,11
184,477,,36,3,6,True,0.5117272297813275,0.00946483156547233,12
23,814,,33,25,23,False,0.5107960191298841,0.0088084392714571,13
172,632,,56,4,7,True,0.5107274210518145,0.00973846582040609,14
150,163,,92,40,8,False,0.5099449909263194,0.008945823102747432,15
118,38,,50,6,2,True,0.5092284031224329,0.016199303117859932,16
185,513,,75,31,6,False,0.5088477346424652,0.026336921449444464,17
132,745,,57,11,12,True,0.5067371579199096,0.010301886562650598,18
122,867,,54,11,27,False,0.5059967109456193,0.016857433264232,19
26,216,,14,10,27,False,0.5059967109456193,0.016857433264232,19
139,19,,69,3,25,False,0.5053546143888072,0.009096045624727697,21
191,911,,77,34,3,False,0.5053119514382399,0.017269916341983358,22
20,401,,8,18,11,True,0.5045879087729481,0.00713250133664325,23
17,226,,82,27,24,False,0.5038653571606885,0.0092573261529538,24
11,518,,84,45,7,False,0.502391356389371,0.01307338748035323,25
161,980,,23,32,16,True,0.5001278063926311,0.007938242284436821,26
153,862,,47,38,15,True,0.4995120283792399,0.008779295825229969,27
136,938,,64,10,17,True,0.49866650545625324,0.003894020698649834,28
101,785,,35,27,17,True,0.49808259435706753,0.009988861227164669,29
119,374,,38,49,8,True,0.49749689858716845,0.016078617077311348,30
42,193,,70,12,4,False,0.4972430779487568,0.015027787068995659,31
96,905,,80,29,2,False,0.49698406684712293,0.013736991925830102,32
195,104,,38,31,35,False,0.49127501210329144,0.013472787812453778,33
187,654,,26,45,45,False,0.4899915958318538,0.012316943607143796,34
40,234,,54,33,37,False,0.48992062991004526,0.01421298225313056,35
59,649,,8,18,3,False,0.4886994320129391,0.015760803742432987,36
142,72,,49,27,21,True,0.48832512572987874,0.007573364124790352,37
36,481,,44,33,32,False,0.4877708112573644,0.018717300902978847,38
106,789,,96,38,32,False,0.4877708112573644,0.018717300902978847,38
69,801,,58,47,40,False,0.4875647119159591,0.02669848133173342,40
82,278,,47,17,40,False,0.4875647119159591,0.02669848133173342,40
144,832,,99,22,1,False,0.4857528691355382,0.009709604230889568,42
1,340,,21,24,19,True,0.48565143658086696,0.00883608733883068,43
131,665,,15,4,1,False,0.4848465024704008,0.01603749846831945,44
154,713,,66,39,39,False,0.4839642444857045,0.026236871399886313,45
156,490,,91,39,34,True,0.4828076620754847,0.006829451801729859,46
60,759,,48,23,22,True,0.48267337515832354,0.004421958295258526,47
39,651,,81,3,49,False,0.48233186173071657,0.011793328696490335,48
168,35,,94,18,48,False,0.48233186173071657,0.011793328696490335,48
73,827,,42,36,26,True,0.4806173355714806,0.007586923163974432,50
115,852,,35,44,29,True,0.48049223046490164,0.005193641800275115,51
128,895,,61,17,21,True,0.4797580387977553,0.0033489068996143236,52
143,938,,86,14,27,True,0.4796446229149064,0.008594172365160307,53
56,923,,89,30,25,True,0.4776202399328116,0.006622046668106378,54
76,843,,87,35,28,True,0.4773105676684938,0.007485203726544172,55
98,844,,51,13,37,True,0.4766554372480153,0.00573495691073967,56
43,846,,17,25,38,True,0.4670298178826139,0.007889160861991117,57
51,313,sqrt,60,2,2,True,0.46684710699683557,0.012287190991254703,58
47,945,,19,34,41,True,0.46481301131367864,0.006283238946895375,59
162,204,sqrt,16,33,3,False,0.4634544644917321,0.007659357278408703,60
33,967,sqrt,62,28,1,True,0.4610095648251146,0.010794800591561203,61
29,180,,23,16,45,True,0.4604036299790343,0.008529528304892836,62
