,param_C,param_kernel,param_gamma,param_degree,param_class_weight,mean_test_score,std_test_score,rank_test_score
517,10.891835184673143,sigmoid,auto,5,balanced,0.541552871630891,0.01772812111412292,1
355,5.488262464647493,rbf,auto,3,balanced,0.5408591975179384,0.018518242902383818,2
393,6.151703623923505,rbf,auto,3,balanced,0.5397977590732698,0.02265888077988897,3
548,10.410965938416632,sigmoid,auto,6,balanced,0.5388503258488984,0.016167501515459867,4
584,12.17619211252748,sigmoid,auto,5,balanced,0.5385723159756406,0.022441014733281094,5
607,9.808259078424458,sigmoid,auto,4,balanced,0.5383758940048164,0.019510090921850978,6
405,11.584386678025766,sigmoid,auto,2,balanced,0.5376684119066413,0.018235118585138984,7
499,11.310982907657301,sigmoid,auto,9,balanced,0.5373975897086941,0.015831683567769383,8
1028,11.887440117707198,sigmoid,auto,1,balanced,0.5373953772503727,0.02017850834618914,9
875,0.2317557904813866,sigmoid,scale,3,balanced,0.5341842863933302,0.017798333486790507,10
429,62.62203316314154,sigmoid,auto,5,balanced,0.5341460144717423,0.026326361912032144,11
242,13.441468693897423,sigmoid,auto,7,balanced,0.5339353611970695,0.02377136054398498,12
838,31.396672737735283,sigmoid,auto,7,balanced,0.533684633306391,0.02123135067497131,13
581,31.372770119409605,sigmoid,auto,1,balanced,0.533684633306391,0.02123135067497131,13
691,6.536616756438524,rbf,auto,4,balanced,0.5336691350920288,0.02189099724391859,15
881,6.600985414024158,rbf,auto,3,balanced,0.5336691350920288,0.02189099724391859,15
766,63.50891159097188,sigmoid,auto,4,balanced,0.5336379549820636,0.026403661600604537,17
1030,31.19840303264185,sigmoid,auto,4,balanced,0.5335550586906489,0.02134133748919732,18
1122,39.103287912739866,rbf,auto,3,balanced,0.5334960116273233,0.022062480323123867,19
1280,31.754971025758845,rbf,auto,2,balanced,0.5331559647307829,0.025002835891666002,20
693,31.5189531097359,rbf,auto,7,balanced,0.5331559647307829,0.025002835891666002,20
403,75.66358137849346,sigmoid,auto,7,balanced,0.5331443924813458,0.023333881713023336,22
1275,31.804958255091872,sigmoid,auto,3,balanced,0.533140659493613,0.021795545939361657,23
508,31.719572676539862,poly,auto,1,balanced,0.533140659493613,0.021795545939361657,23
824,31.886682832113884,sigmoid,auto,9,balanced,0.533140659493613,0.021795545939361657,23
1497,38.0951855023475,rbf,auto,6,balanced,0.5330931317848376,0.024926290010275503,26
1345,37.96167744516702,rbf,auto,9,balanced,0.5330931317848376,0.024926290010275503,26
998,33.15647090671938,sigmoid,auto,7,balanced,0.5329359346028871,0.022152483287633144,28
372,39.163015054035604,rbf,auto,4,balanced,0.5328706827125207,0.020983807050157382,29
154,8.483772408519192,sigmoid,auto,3,balanced,0.5328101090536969,0.01605721934427999,30
983,39.245819622948,rbf,auto,5,balanced,0.5328049702158841,0.020871569506538536,31
1039,30.978786920909926,sigmoid,auto,7,balanced,0.5327981214489753,0.022199586434952248,32
673,64.25652095351916,sigmoid,auto,1,balanced,0.5327877612242135,0.02723183216152628,33
85,64.54723059071678,sigmoid,auto,1,balanced,0.5327636835472298,0.027253245468261085,34
924,64.48326140223138,sigmoid,auto,5,balanced,0.5327636835472298,0.027253245468261085,34
1108,32.67425520300408,poly,auto,1,balanced,0.5327390498957429,0.022106600695240702,36
1284,62.268955094979745,sigmoid,auto,3,balanced,0.5326595747366637,0.02501720992202441,37
215,61.82547815302959,sigmoid,auto,7,balanced,0.5326595747366637,0.02501720992202441,37
448,61.6604591862474,sigmoid,auto,9,balanced,0.5326595747366637,0.02501720992202441,37
909,38.764881545564705,rbf,auto,9,balanced,0.5323294535224962,0.022896943746055123,40
1251,33.74803356748981,sigmoid,auto,5,balanced,0.5322710381586621,0.022678489432640184,41
226,33.74468438719181,sigmoid,auto,4,balanced,0.5322710381586621,0.022678489432640184,41
1243,73.62398201338331,sigmoid,auto,6,balanced,0.5322503802664788,0.025201632698442313,43
1414,33.19715147358455,sigmoid,auto,9,balanced,0.5322002900173063,0.022738320835554198,44
1413,18.345241115022933,sigmoid,auto,9,balanced,0.5321929901457269,0.020132869947672643,45
685,76.55129089911097,sigmoid,auto,6,balanced,0.5321881128355256,0.022819161057749705,46
1246,16.530229613796127,rbf,auto,3,balanced,0.5321277793696162,0.02172403205998473,47
463,34.59350025469629,sigmoid,auto,4,balanced,0.5321166872229283,0.023031505323245355,48
1383,34.65587698165476,sigmoid,auto,2,balanced,0.5321166872229283,0.023031505323245355,48
971,39.279378580934335,sigmoid,auto,8,balanced,0.5321019768292277,0.02637808660046335,50
1175,20.106516204994513,rbf,auto,8,balanced,0.5321019768292277,0.02637808660046335,50
1150,34.994494952963976,sigmoid,auto,2,balanced,0.5320985614131889,0.023077827147528478,52
1126,17.16939177054496,rbf,auto,2,balanced,0.5320605979510218,0.02190222002559286,53
1216,39.59615987476049,poly,auto,1,balanced,0.5320530117748083,0.026425275741228063,54
493,30.79299515911909,sigmoid,auto,2,balanced,0.5320304033832775,0.022469646876149378,55
502,34.85736772419705,sigmoid,auto,2,balanced,0.5320155529896231,0.023030480947660293,56
1098,40.76328679796558,sigmoid,auto,6,balanced,0.5319491508716209,0.026526288598928128,57
1192,64.95089397074473,sigmoid,auto,1,balanced,0.5319176155184991,0.02822841480458537,58
1289,9.23605381113785,rbf,auto,8,balanced,0.5318461578418717,0.020475067400692246,59
101,37.5582962639944,rbf,auto,2,balanced,0.5318377032152406,0.02436101267362872,60
574,39.10427730581744,poly,auto,1,balanced,0.5315758084518593,0.02656782681252853,61
