,Comment title,Comment,cleaned_Comment,lemmatized_Comment,Topic_1_probability,Topic_2_probability,Topic_3_probability,Topic_4_probability,Topic_5_probability,Topic_6_probability,Topic_7_probability,Max_Probability_Topic,Max_Topic_Words
0,"""bang on time and smooth flights""",Flew back from Faro to London Luton Friday 2nd February. Ryanair in both directions was bang on time and smooth flights in both directions.  We always sit in Front for more space and this was very comfortable for just under a 3 hour flight. The cabin crew were polite and efficient with nice sense of humour especially and engagement especially Ethan and his female colleague at the front section. For their human touch [unlike sometimes the stand offish BA crews] merit a 10/10 marking,fly faro london luton friday nd february ryanair direction bang time smooth flight direction sit space comfortable hour flight cabin crew polite efficient nice sense humour especially engagement especially ethan female colleague section human touch unlike stand offish ba crew merit marking,fly ryanair time smooth flight direction sit space comfortable hour flight cabin crew polite efficient nice sense humour especially engagement especially female colleague section human touch stand offish crew merit mark,0.0037508411332964897,0.003749712137505412,0.0037498651072382927,0.5791476368904114,0.003750292584300041,0.40210139751434326,0.003750212024897337,Topic_4,"time, delay, hour, plane, minute, wait, late, arrive, leave, people"
1,"""Another good affordable flight""","Another good affordable flight with Ryanair. On time, pleasant staff at check-in and on board. We use Ryanair as our first choice on every flight we take.",good affordable flight ryanair time pleasant staff checkin board use ryanair choice flight,good affordable flight ryanair time pleasant staff ryanair choice flight,0.01492680050432682,0.014927097596228123,0.014926684089004993,0.014926918782293797,0.014926508069038391,0.9104375243186951,0.014928492717444897,Topic_6,"time, seat, good, service, staff, price, airline, return, great, problem"
2,“Really impressed!”,"Really impressed! You get what you pay for, this flight only cost £19.99. The seats were soft, and there was tons of legroom! (not in an emergency exit) The cabin was spotless. The colours were a little bright but it was good. Cheap and no frills! Highly recommend, flies almost everywhere,",impressed pay flight cost seat soft ton legroom emergency exit cabin spotless colour little bright good cheap frill highly recommend fly,impressed pay flight cost seat soft ton legroom emergency exit cabin spotless colour little bright good cheap frill highly recommend fly,0.00565218273550272,0.005652858410030603,0.5604962706565857,0.005653570871800184,0.005651939194649458,0.32591012120246887,0.09098299592733383,Topic_3,"bag, pay, check, luggage, hold, hand_luggage, staff, priority, queue, baggage"
3,“a decent offering from Ryanair”,"I should like to review my flight from Faro to Liverpool with Ryanair. I booked the seat with Ryanair several months before my planned travel and found the website clear and easy to use. Ryanair sent quite frequent emails relating to the flight and attempted to sell me extras. The check-in procedure was followed by a bag-drop at Faro Airport. This was not efficient and the app they recommended for speedy bag-drop did not work. Setting that aside, I was able to check-in my bag within less than 30 minutes of having arrived at the airport. Boarding was supposedly via group but this did not materialise at all. The cabin crew had a reasonable presence and delivered a serious safety procedure. During the flight the crew worked hard and had several rounds of drinks for sale. I found the seat suitable for a flight just under 3 hours. The flight departed on-time and arrived on schedule too. Disembarkation was delayed in Liverpool while this was not the fault of Ryanair, there was no communication with the passengers as to why this was the case. Disembarkation was not orderly and was poorly managed. Overall, a decent offering from Ryanair.",like review flight faro liverpool ryanair book seat ryanair month plan travel find website clear easy use ryanair send frequent email relate flight attempt sell extras checkin procedure follow bagdrop faro airport efficient app recommend speedy bagdrop work set aside able checkin bag minute have arrive airport boarding supposedly group materialise cabin crew reasonable presence deliver safety procedure flight crew work hard round drink sale find seat suitable flight hour flight depart ontime arrive schedule disembarkation delay liverpool fault ryanair communication passenger case disembarkation orderly poorly manage overall decent offering ryanair,review flight faro ryanair book seat ryanair month plan travel find website clear easy use ryanair send frequent email relate flight attempt sell procedure follow bagdrop efficient recommend speedy bagdrop work set aside able checkin bag minute arrive airport boarding supposedly group materialise cabin crew reasonable presence deliver safety procedure flight crew work hard round drink sale find seat suitable flight hour flight depart ontime arrive schedule disembarkation delay liverpool fault ryanair communication passenger case disembarkation orderly poorly manage overall decent offering ryanair,0.35222673416137695,0.0014564021257683635,0.02046160027384758,0.09382433444261551,0.21018148958683014,0.320392906665802,0.0014565512537956238,Topic_1,"passenger, plane, staff, board, sit, seat, cabin_crew, come, boarding, aircraft"
4,“cabin crew were welcoming and friendly”,"Flight left the gate ahead of schedule, fare was really cheap and cabin crew were welcoming and friendly. Flight was so much cheaper than Aer Lingus and flying with Ryanair is a much better experience.",flight leave gate ahead schedule fare cheap cabin crew welcome friendly flight cheap aer lingus fly ryanair well experience,flight leave ahead schedule fare cheap cabin crew welcome friendly flight cheap fly ryanair well experience,0.011495383456349373,0.011497683823108673,0.011495424434542656,0.011496344581246376,0.01149499136954546,0.011497401632368565,0.9310227632522583,Topic_7,"time, crew, good, return, cabin_crew, boarding, land, arrive, leg_room, journey"
5,"""close online checkin 3 hours before""","Booked a fight from Copenhagen to Poland though booking.com Somewhere in the email from booking.com it states that checkin must be done online from home. I figure I'll do it in the morning since I have plenty of time. it's low season and I don't have any checked in luggage. I live in Copenhagen not far from the airport. Morning comes and I try to check in online. No luck, apparently they close online checkin 3 hours before the flight. I figure I'll just check in at the airport at those self serve terminals. I arrive at the airport 2 hours before my flight and head for a terminal. Prompt says: kindly go to service desk. Head for service desk. They charge me 42 euro to check me in. The flight itself was 57 euro. They almost charged me the price of the flight just to check me in manually! And they forced me to check in manually by closing online and self-serve checkin. This is Ryanair policy. Apparently. Wizzair and booking are not without blame either, as they decide who they want to do business with.",book fight copenhagen poland bookingcom email bookingcom state checkin online home figure ill morning plenty time low season not check luggage live copenhagen far airport morning come try check online luck apparently close online checkin hour flight figure ill check airport self serve terminal arrive airport hour flight head terminal prompt say kindly service desk head service desk charge euro check flight euro charge price flight check manually force check manually close online selfserve checkin ryanair policy apparently wizzair booking blame decide want business,book fight email home figure ill morning plenty time low season check luggage live copenhagen far airport morning come try check online luck apparently close online checkin hour flight figure ill check airport self serve terminal hour flight head terminal say service desk check flight euro charge price flight check manually force check manually close ryanair policy apparently wizzair booking blame decide want business,0.001764663145877421,0.3583824336528778,0.0017645967891439795,0.0017647164640948176,0.5635923743247986,0.07096657156944275,0.0017646529013291001,Topic_5,"tell, check, airport, try, customer_service, hour, book, refund, ask, cancel"
6,"""they are really not better value""","The flight itself is operated by Malta air and I've always found their cabin crew to be very pleasant and respectful. That however cannot be said for their handling agents either in Pisa or Stansted. The Stansted bunch I have found to be rude, argumentative and hostile. Like they hate their work. Boarding no matter where is a shambles. You're invariably stuck in a freezing cold or roasting hot stairwell even before your aircraft reaches the gate. It's not a pleasant experience. Nowhere to sit. As budget airlines don't use jetties at the gate there is every chance that you're gonna get soaked going to and from the terminal in winter. Cabins are not the worst that I've been on. I'm a wee guy so 2hrs 30mins isn't too bad. As far as cheap fares go, I've yet to get a Ryaniar flight that I found to be value for money. All I can say about the flights is that they are generally uneventful and again the Malta Air crew are welcoming. I found that once you add on all of their ridiculous charges they are really not better value than companies like British Airways. It is worth remembering that whether you like Ryanair or not it gives us a choice.",flight operate malta air ve find cabin crew pleasant respectful say handling agent pisa stanste stansted bunch find rude argumentative hostile like hate work boarding matter shamble invariably stick freeze cold roasting hot stairwell aircraft reach gate pleasant experience sit budget airline not use jetty gate chance go to soak go terminal winter cabin bad ve m wee guy hrs min not bad far cheap fare ve ryaniar flight find value money flight generally uneventful malta air crew welcome find add ridiculous charge well value company like british airways worth remember like ryanair give choice,flight operate air ve find cabin crew pleasant respectful say handle agent stanste bunch find rude argumentative hostile hate work boarding matter shamble invariably stick freeze cold roast hot stairwell aircraft reach gate pleasant experience sit budget airline use chance go soak go terminal winter cabin bad ve m guy bad far cheap fare ve ryaniar flight find value money flight generally uneventful malta air crew welcome find add ridiculous charge value company worth remember ryanair give choice,0.037164993584156036,0.4053930640220642,0.051586516201496124,0.07091474533081055,0.0015964508056640625,0.2258487194776535,0.20749549567699432,Topic_2,"pay, seat, airline, book, check, charge, ticket, cheap, people, return"
7,"""asked me to pay for the backpack""","Staff is rude and has no manners, let alone be professional. I had a backpack with which I flew from Vienna to Paris through Ryanair without any issues. But while flying from Paris to Barcelona, they asked me to pay for the backpack. They have kept a small rack to check size of your carryon baggage, which is way smaller than the one we have in flight and as a result, high chances you will always end up paying. Because of this there was a long queue and one couple even missed their flight and instead of being considerate, they smiled and asked them to purchase ticket for another flight.",staff rude manner let professional backpack fly vienna paris ryanair issue fly paris barcelona ask pay backpack keep small rack check size carryon baggage way small flight result high chance end pay long queue couple miss flight instead considerate smile ask purchase ticket flight,staff rude let professional backpack fly issue fly barcelona ask pay backpack keep small rack check size carryon baggage way small flight result high chance end pay long queue couple miss flight instead considerate smile ask purchase ticket flight,0.003059530397877097,0.1149376928806305,0.47189974784851074,0.003059709444642067,0.16980265080928802,0.0030596782453358173,0.2341810166835785,Topic_3,"bag, pay, check, luggage, hold, hand_luggage, staff, priority, queue, baggage"
8,"""ground service staff is really bad""","Ryanair ground service staff is really bad. If you have a problem, they never listen and they never help. I had problems twice. I tried to explain my situation. They did not listen and they did not take me to the flight. I missed the flight because of their mistake. They did not even look at the evidence that I tried to show them. My family holiday became a tragedy.",ryanair ground service staff bad problem listen help problem twice try explain situation listen flight miss flight mistake look evidence try family holiday tragedy,ryanair ground service staff bad problem listen help problem twice try explain situation listen flight miss flight mistake look evidence try family holiday tragedy,0.005350905004888773,0.00535092456266284,0.005350898951292038,0.005350842606276274,0.9678941369056702,0.005351948086172342,0.005350351333618164,Topic_5,"tell, check, airport, try, customer_service, hour, book, refund, ask, cancel"
9,"""they made us pay a No show fee""","I wanted to check in online a night before our flight, but my nationality was not listed in their websites and when we wanted to check in in person they asked for a fee, and that still was not a problem! They asked for a credit card to check for late check-in fee, we asked them to pay by our debit card or by cash, but they did not accept it. So we missed our flight, and they made us pay a No show fee on the application so that they give us another flight in the evening. The flight we got was about 30 Euro and the no show fee we paid was 100 Euro. When I told them in Germany we can pay by debit card or cash, they said we are an Irish airline it has nothing to do with Germany! Then why do you have your business here? The other thing is when I mentioned my nationality was not listed on your website they did not accept that and they inserted my nationality manually!",want check online night flight nationality list website want check person ask fee problem ask credit card check late checkin fee ask pay debit card cash accept miss flight pay fee application flight evening flight get euro fee pay euro tell germany pay debit card cash say irish airline germany business thing mention nationality list website accept insert nationality manually,want check online night flight nationality list website want check person ask fee problem ask credit card check late fee ask pay debit card cash accept miss flight pay fee application flight evening flight get euro fee pay pay debit card cash say business thing mention nationality list website accept insert nationality manually,0.0022911569103598595,0.5364629030227661,0.0022915485315024853,0.04465348646044731,0.40971869230270386,0.0022911997511982918,0.002291052369400859,Topic_2,"pay, seat, airline, book, check, charge, ticket, cheap, people, return"
10,“Crew extremely well presented”,"Krakow to Tirana with Ryanair's subsidiary, Buzz, on a brand new Boeing 737Max-200. Flight departed early and arrived before schedule. Crew extremely well presented and professional. Ryanair does not have the most comfortable seats, and leg room is not the best, however for a 1 hour 25 minute flight I do not have much complaints. If you follow their baggage rules and basic online check-in, you won't have any issues. While they are the low cost airline I fly least in comparison to WizzAir/easyJet, I would willingly fly them again if given the opportunity.",krakow tirana ryanairs subsidiary buzz brand new boeing max flight depart early arrive schedule crew extremely present professional ryanair comfortable seat leg room good hour minute flight complaint follow baggage rule basic online checkin will not issue low cost airline fly comparison wizzaireasyjet willingly fly give opportunity,new flight depart early arrive schedule crew extremely present professional ryanair comfortable seat leg room good hour minute flight complaint follow baggage rule basic online checkin issue low cost airline fly comparison wizzaireasyjet willingly fly give opportunity,0.0033712238073349,0.003372109029442072,0.003371719503775239,0.33846163749694824,0.0033719222992658615,0.38560256361961365,0.26244884729385376,Topic_6,"time, seat, good, service, staff, price, airline, return, great, problem"
11,"""pay if you don’t check in online""","This airline charges you for almost every thing. Every child needs to be seated with an adult. Got it, it is for Safety. But you must pay for the seat selection of the accompanying adult so that you can choose the seat next to the child. Only allowed a bag pack to be carried on for free, ay other cabin bag you must pay. You pay if you don’t check in online. It’s €55 to check in at the airport. That’s more than twice of my ticket price. No room for any negotiation. By the way, even if the flight is delayed and you have time to do online check in for free, too bad, just pay.  They insisted that we have an email to inform us of this. Too bad if you ignored the email.",airline charge thing child need seat adult get safety pay seat selection accompanying adult choose seat child allow bag pack carry free ay cabin bag pay pay not check online check airport s twice ticket price room negotiation way flight delay time online check free bad pay insist email inform bad ignore email,airline charge thing child need seat adult get safety pay seat selection accompany adult choose seat child allow bag pack carry free ay cabin bag pay pay check online check twice ticket price room negotiation way flight delay time check free bad pay insist email inform bad ignore email,0.002344094216823578,0.39722660183906555,0.22269366681575775,0.2644297480583191,0.10861868411302567,0.0023436821065843105,0.0023434991016983986,Topic_2,"pay, seat, airline, book, check, charge, ticket, cheap, people, return"
12,“At least 5 passengers denied boarding”,At least 5 passengers denied boarding in Lisbon due to overbooking. In London Stansted the plane was 1:30 minutes late due to what seemed to be defrosting.,passenger deny boarding lisbon overbooke london stanste plane minute late defrost,passenger deny boarding plane minute defrost,0.7101914286613464,0.014943784102797508,0.01494480762630701,0.014947905205190182,0.21508176624774933,0.014944282360374928,0.014946028590202332,Topic_1,"passenger, plane, staff, board, sit, seat, cabin_crew, come, boarding, aircraft"
13,"""eight of the 10 flights had delays""","This is my tenth flight with Ryanair this year - and eight of the 10 flights had delays - usually between one and two hours, but we had more than three hours too! There is basically no way anymore that you can convincingly plan longer trips with them, for example a train journey after arrival, because you never know when you arrive. Today, we are loosing another train ticket that we bought ages ago in advance, when we still believed that some delays are exceptions to the rule, rather than the new rule. Even back then, we already calculated with a one and a half hour Ryanair delay, but that is just not good enough for that ""never on time airline"". To make things worse, according to EU law, they only have to pay compensation from a three hour delay, i.e. most delays go without any sanction, meaning a contribution from Ryanair for the additional expenses their customer have to pay. Long live neoliberalism? Add to that the non-existing Ryanair customer-sevice, which leaves you in the dark about new departure time, gate changes etc, and you have the worst package you can possibly buy. What can we customers do about it? At first, let us please stop buying drinks, food and other items on flights that come with more than half an hour delay. We should not reward such an airline for what they do to us. And then better check always the prices of competitors: Eurowings, EasyJet, Vuelin, Wizzair, anything that stays within a reasonable price for the package might be worth considering.",tenth flight ryanair year flight delay usually hour hour basically way anymore convincingly plan long trip example train journey arrival know arrive today loose train ticket buy age ago advance believe delay exception rule new rule calculate half hour ryanair delay good time airline thing bad accord eu law pay compensation hour delay ie delay sanction mean contribution ryanair additional expense customer pay long live neoliberalism add nonexisting ryanair customersevice leave dark new departure time gate change etc bad package possibly buy customer let stop buy drink food item flight come half hour delay reward airline well check price competitor eurowing easyjet vuelin wizzair stay reasonable price package worth consider,tenth flight ryanair year flight delay usually hour hour basically way anymore convincingly plan long trip example train journey arrival know arrive today loose train ticket buy age ago believe delay exception rule new rule calculate half hour ryanair delay good time airline thing bad accord law pay compensation hour delay delay sanction mean contribution ryanair additional expense customer pay long live neoliberalism add leave dark new departure time gate change bad package possibly buy customer let stop buy drink food item flight come half hour delay reward airline well check price competitor eurowe easyjet wizzair stay reasonable price package worth consider,0.03375588357448578,0.10392554849386215,0.0011813972378149629,0.36596202850341797,0.22165878117084503,0.11456067860126495,0.1589556336402893,Topic_4,"time, delay, hour, plane, minute, wait, late, arrive, leave, people"
14,"""try to avoid it in the future""","We have a return flight from Gatwick to Alicante. The issue started with online check-in. The application has constantly faild. At the end we make the registration front London to Alicante it was takes a lot of time. Even with this registration we cannot get boarding pass and gave to go to the desk. On the way came back we tried to make check-in online but it always faild. We have to go to the desk and make the registration. The airport charges us 30 euro per person. I tried send my issue to the Ryanair compliance dept, but all of the answers was like "" Change device, you have to talk on the chat and etc"" Just wanna get back my check-in fee . Nothing, just feeling you talked to a wall. I have very bad experience with the company and will try to avoid it in the future.",return flight gatwick alicante issue start online checkin application constantly faild end registration london alicante take lot time registration boarding pass give desk way come try checkin online faild desk registration airport charge euro person try send issue ryanair compliance dept answer like change device talk chat etc wanna checkin fee feel talk wall bad experience company try avoid future,return flight gatwick alicante issue start online application constantly faild end registration alicante take lot time registration boarding pass give desk way come try desk registration airport charge person try send issue ryanair compliance dept answer change device talk chat feel talk wall bad experience company try avoid future,0.0024589302483946085,0.002459204290062189,0.4087449908256531,0.0024590669199824333,0.5789597630500793,0.0024589260574430227,0.0024590687826275826,Topic_5,"tell, check, airport, try, customer_service, hour, book, refund, ask, cancel"
15,"""offers fares at great value"" ","Couldn’t find any reason to complain. Outbound flight on time, clean aircraft and Cabin Crew friendly and well presented. Great value for money. It was cheaper to fly to Dublin for the day on Ryanair rather than go to London from Bristol for the day by rail. Although the seats do not recline, I thought the leg room was fine. I have flown Ryanair several times over the years and have come to the conclusion that as long as you stick to the rules with regards checking in on line and adhere to luggage sizes, journeys are hassle free generally. Flight was late on the return leg but they emailed an apology before the dedicated check in time. That didn’t bother me personally. Their website is designed to capture more money related to seat allocation, earlier checkin, luggage upgrades, insurance, etc etc but they are optional and as long as you know what you want, there is no obligation to increase the price of your journey. I find their website and online check in very easy to use. I’m a pensioner and I’m grateful Ryanair offers fares at great value.",not find reason complain outbound flight time clean aircraft cabin crew friendly present great value money cheap fly dublin day ryanair london bristol day rail seat recline think leg room fine fly ryanair time year come conclusion long stick rule regard check line adhere luggage size journey hassle free generally flight late return leg email apology dedicated check time not bother personally website design capture money relate seat allocation early checkin luggage upgrade insurance etc etc optional long know want obligation increase price journey find website online check easy use m pensioner m grateful ryanair offer fare great value,find reason complain outbound flight time clean aircraft cabin crew friendly present great value money cheap fly day ryanair rail seat recline think leg room fine fly ryanair time year come conclusion long rule regard check line adhere luggage size free generally flight late return leg email apology dedicated check time bother personally website design capture money relate seat allocation early upgrade insurance long know want obligation increase price journey find website online check easy use m grateful offer fare great value,0.0015467465855181217,0.40610986948013306,0.0015473819803446531,0.001547010033391416,0.18892167508602142,0.26820120215415955,0.13212615251541138,Topic_2,"pay, seat, airline, book, check, charge, ticket, cheap, people, return"
16,"""inside the freezing plane one more hour""","The duration of this flight is 1h and 20m but we stayed inside the freezing plane one more hour, allegedly not Ryanair's fault but Lisbon's airport. Eventually they turned on the heat when it took off but when approaching Madeira the coldness was back. As usual, dirty plane.",duration flight h m stay inside freeze plane hour allegedly ryanair fault lisbon airport eventually turn heat take approach madeira coldness usual dirty plane,duration flight h m stay freeze plane hour allegedly ryanair airport eventually turn heat take approach coldness usual dirty plane,0.006378201302140951,0.006375045515596867,0.006375424563884735,0.9617395401000977,0.006377161480486393,0.006375099997967482,0.0063794986344873905,Topic_4,"time, delay, hour, plane, minute, wait, late, arrive, leave, people"
17,"""Play the game and you'll be fine""","Play the game and you'll be fine. Got a return flight from Leeds Bradford to Faro for £101. I booked 3 months ahead, didn't reserve a seat, and took only a small bag. Had my boarding pass both on my app, and in paper format (just in case). Took my own food and drink on the plane, didn't buy any of theirs, and didn't buy any of their duty free etc. It really does pay to do your research. At Leeds Bradford someone had lost their boarding pass (I think that cost them £60), while at Faro someone's cabin bag was too big. That had to go in the hold, and I expect that cost him. He said it was OK at Leeds, but maybe he got away with it there. My old bag would have been too big, but I checked Ryanair's website, and bought a new and conforming bag for £9.99. I'm 6 foot tall, and the leg room is tight, but just about OK for a 3 hour flight. The seats were uncomfortable though and needed more cushioning. The outward flight took off and arrived on time. The cabin crew were friendly and efficient. No hard sales pitch for food, drink, duty free. The announcements could have been clearer, but that was down to the Portuguese captain. The return flight was about an hour late taking off, due to delays experienced earlier in the day. This happens. Allow for it. They made up 20 minutes and the plane landed at Leeds Bradford 40 minutes behind schedule. Absolutely no complaints whatsoever and fantastic value for money. I'd reckon that the negative views on here are hugely in the minority. In some cases things have gone wrong, but in others part of the blame must be with the posters who haven't researched and prepared well.",play game ll fine get return flight leed bradford faro book month ahead not reserve seat take small bag boarding pass app paper format case take food drink plane not buy theirs not buy duty free etc pay research leed bradford lose boarding pass think cost faro someones cabin bag big hold expect cost say ok leed maybe get away old bag big check ryanair website buy new conform bag m foot tall leg room tight ok hour flight seat uncomfortable need cushion outward flight take arrive time cabin crew friendly efficient hard sale pitch food drink duty free announcement clear portuguese captain return flight hour late take delay experience early day happen allow minute plane land leeds bradford minute schedule absolutely complaint whatsoever fantastic value money d reckon negative view hugely minority case thing go wrong blame poster not research prepare,play game fine get return flight month ahead reserve seat take small bag boarding pass app paper format case take food drink plane buy buy duty free pay research leed lose boarding pass think cost faro someone cabin bag big hold expect cost say leed maybe get old bag big check ryanair website buy new bag m foot tall leg room tight hour flight seat uncomfortable need cushion outward flight take arrive time cabin crew friendly efficient hard sale pitch food drink duty free announcement clear portuguese captain return flight hour late take delay experience early day happen allow minute plane land leed bradford minute schedule absolutely complaint fantastic value money reckon negative view hugely minority case thing go wrong blame poster research prepare,0.00114087900146842,0.13626977801322937,0.12600275874137878,0.10584118217229843,0.0011410127626731992,0.0011410732986405492,0.6284633278846741,Topic_7,"time, crew, good, return, cabin_crew, boarding, land, arrive, leg_room, journey"
18,"""flying with Ryanair is a tiring thing""","Most importantly Ryanair took me from A to B, safe and in a new plane. However, often flying with Ryanair is a tiring thing. The boarding process can simply be a pain as between scanning your pass and effectively letting you on the plane they let passengers stand in line for long time, often in cramped places. Surely it is to assure everyone is there, can board quickly and enable the closing of the doors of the plane on time, but is quite a torture (many other airlines try to avoid such thing, probably with more differentiation of boarding groups). Furthermore, on this specific flight, the crew truly was a pain trying to sell all kind of “Duty Free” (non existing, as it was a domestic flight) items. The announcements took a full 10 minutes on a 60 min flight (sum it up with the safety instructions, buy on board of catering items, pilot’s message(s) etc), reading out all kind of “special offers” for more or less low ranking articles and was loud. Most “refined marketing action” was the seat belts sign to be turned on, for no reason whatsoever (quiet flying conditions), to assure proper sales of articles.",importantly ryanair take b safe new plane fly ryanair tiring thing boarding process simply pain scan pass effectively let plane let passenger stand line long time cramp place surely assure board quickly enable closing door plane time torture airline try avoid thing probably differentiation boarding group furthermore specific flight crew truly pain try sell kind duty free non exist domestic flight item announcement take minute min flight sum safety instruction buy board catering item pilot message etc read kind special offer low rank article loud refined marketing action seat belt sign turn reason whatsoever quiet fly condition assure proper sale article,importantly ryanair take safe new plane fly ryanair tire thing boarding process simply pain pass effectively let plane let passenger stand line long time place surely assure board quickly enable close door plane time torture airline try avoid thing probably differentiation boarding group furthermore specific flight crew truly pain try sell kind duty free exist domestic flight item announcement take minute min flight sum safety instruction buy board catering item pilot message read kind special offer low rank article loud refined marketing action seat belt sign turn reason whatsoever quiet fly condition assure proper sale article,0.44651034474372864,0.0012561730109155178,0.05090167373418808,0.3399406373500824,0.001256174291484058,0.15887904167175293,0.0012559803435578942,Topic_1,"passenger, plane, staff, board, sit, seat, cabin_crew, come, boarding, aircraft"
19,"""They give flights at good prices""","One of the biggest rip-off companies out there. They give flights at good prices, and then will find any possible way to charge you additional money an make your trip as expensive as possible. Want to cancel your reservation within 24h from the purchase? Not possible. Need some time to choose which luggage you'll need? Be ready to pay double price for that, right after the booking. Want to change your flight? Double price just for the fees. They are tracking everything you do in their app to show you higher prices wherever they can. Customer service replies but doesn't help at all. 100% shameful company.",big ripoff company flight good price find possible way charge additional money trip expensive possible want cancel reservation h purchase possible need time choose luggage ll need ready pay double price right booking want change flight double price fee track app high price customer service reply not help shameful company,big ripoff company flight good price find possible way charge additional money trip expensive possible want cancel reservation h purchase possible need time choose luggage need ready pay double price right booking want change flight double price fee track app high price customer service reply help shameful company,0.0023430802393704653,0.6254209280014038,0.0023429561406373978,0.11389536410570145,0.25131112337112427,0.0023432355374097824,0.0023433442693203688,Topic_2,"pay, seat, airline, book, check, charge, ticket, cheap, people, return"
