,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
119,171,distance,ball_tree,364,43.42220092469763,manhattan,-1.345931350999876,0.013576238801701657,1
6,179,distance,brute,190,62.838600933308726,manhattan,-1.351183872620278,0.011974652301067984,2
70,180,distance,ball_tree,299,56.281997690790774,manhattan,-1.351492966265893,0.012439044778459371,3
286,181,distance,ball_tree,65,12.047411313139467,manhattan,-1.3523044307208458,0.012382152640615577,4
373,167,uniform,ball_tree,28,66.67366645412922,manhattan,-1.3564770406290712,0.012104296039361915,5
55,167,uniform,kd_tree,194,66.19612595026005,manhattan,-1.3564770406290712,0.012104296039361915,5
87,189,distance,brute,485,35.187966671640154,manhattan,-1.358122929464467,0.01165281226946699,7
223,156,distance,brute,179,58.76319540915472,manhattan,-1.3584979107112338,0.04271758149926525,8
112,137,uniform,kd_tree,223,74.70355567910089,manhattan,-1.3588509420032047,0.04306122410391728,9
210,138,uniform,kd_tree,360,41.08514167636399,manhattan,-1.3596405851044806,0.04258537284460364,10
451,138,uniform,kd_tree,158,15.12780492755058,manhattan,-1.3596405851044806,0.04258537284460364,10
390,197,distance,kd_tree,175,84.81152896481102,manhattan,-1.3636601159790693,0.011615764309229025,12
117,149,uniform,ball_tree,321,95.72485773838586,manhattan,-1.365571232567466,0.0419475438588077,13
475,200,distance,brute,117,87.46603921404177,manhattan,-1.3657203001096925,0.011344280387537597,14
413,150,uniform,kd_tree,420,40.99052068041562,manhattan,-1.366414933743424,0.042068075250395194,15
92,151,uniform,brute,394,51.31362585800877,manhattan,-1.3672382754977315,0.04242867069286094,16
251,132,distance,brute,326,12.775108289014113,manhattan,-1.3675569275921755,0.053202774953447676,17
492,153,uniform,brute,370,13.523357043282711,manhattan,-1.3687561567160862,0.04294322473944681,18
196,136,distance,kd_tree,410,32.61965822964946,manhattan,-1.3696148246358457,0.053108689816691174,19
191,99,distance,brute,419,93.95291442478259,manhattan,-1.3708168421698455,0.05769671710095194,20
278,187,uniform,brute,424,41.448544968185075,manhattan,-1.371154559862894,0.010503626416187366,21
453,210,distance,kd_tree,419,98.56102008599149,manhattan,-1.372007919705851,0.011327078590425888,22
310,192,uniform,brute,155,16.86051052930737,manhattan,-1.3748517607302915,0.010590264099960639,23
22,220,distance,brute,407,67.59223566174967,manhattan,-1.3776048892338948,0.011691874995853507,24
436,219,distance,kd_tree,326,38.84764234858691,manhattan,-1.3776923204245608,0.01173912771845643,25
231,198,uniform,brute,175,54.44558912572469,manhattan,-1.3800130484731779,0.010497525550398599,26
380,112,distance,brute,207,54.99058395022125,manhattan,-1.3805915763117846,0.057039435814421995,27
391,118,distance,brute,458,25.414729042237425,manhattan,-1.3826317578743996,0.055998190517379726,28
450,86,distance,ball_tree,42,63.795005277263584,manhattan,-1.3836051771002715,0.06006697485010585,29
