,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
773,2.3953972872905602,True,-1.3909011710148584,0.16283947202433205,1
677,2.395397855599046,True,-1.3909011710148875,0.16283946483615944,2
787,2.3954008514167637,True,-1.3909011710149453,0.1628394269437932,3
572,2.395396542782321,True,-1.390901171014976,0.16283948144117866,4
893,2.3953971835296186,True,-1.3909011710149835,0.16283947333672852,5
823,2.395398168693591,True,-1.3909011710149852,0.16283946087595816,6
817,2.3953990027038703,True,-1.3909011710150003,0.162839450327073,7
1226,2.395397594397963,True,-1.3909011710150088,0.16283946813991,8
344,2.3953985047343975,True,-1.3909011710150128,0.16283945662561725,9
1290,2.3953969232762016,True,-1.3909011710150703,0.1628394766285395,10
1106,2.3953962420189026,True,-1.3909011710150723,0.16283948524537645,11
864,2.3954007630608753,True,-1.3909011710151091,0.1628394280613496,12
1486,2.3953961726916093,True,-1.390901171015148,0.1628394861222505,13
1057,2.3954019309136094,True,-1.3909011710151749,0.16283941328987955,14
555,2.3954034828662123,True,-1.3909011710152994,0.16283939366014735,15
1473,2.395404140321651,True,-1.3909011710154042,0.16283938534440745,16
1460,2.395393864405654,True,-1.3909011710154917,0.16283951531843993,17
736,2.3953924451074227,True,-1.390901171015628,0.1628395332703299,18
227,2.395393097724667,True,-1.390901171015638,0.16283952501575713,19
566,2.3953922440451,True,-1.3909011710157018,0.16283953581351493,20
1266,2.3953924935564066,True,-1.3909011710157624,0.162839532657533,21
1381,2.3953910815366517,True,-1.3909011710160146,0.1628395505174204,22
1467,2.395406907960723,True,-1.3909011710161912,0.16283935033821834,23
406,2.3953892016787344,True,-1.3909011710166292,0.16283957429468054,24
963,2.395389295614042,True,-1.390901171016699,0.16283957310651806,25
873,2.395408734171098,True,-1.3909011710167065,0.16283932723958885,26
1127,2.395408453213071,True,-1.3909011710167145,0.16283933079325388,27
316,2.3954089529444142,True,-1.3909011710168002,0.16283932447248647,28
1488,2.39538855810127,True,-1.390901171016877,0.16283958243490596,29
1229,2.395409334006315,True,-1.3909011710169015,0.16283931965266896,30
913,2.3954094116521913,True,-1.3909011710169106,0.16283931867055437,31
60,2.3953886772896893,True,-1.390901171016927,0.16283958092735412,32
360,2.3953881699262065,True,-1.3909011710171193,0.16283958734473292,33
106,2.3954103829230355,True,-1.3909011710173194,0.16283930638554017,34
674,2.3954103968269895,True,-1.3909011710174333,0.16283930620970355,35
177,2.3953867353463005,True,-1.3909011710176122,0.1628396054899356,36
365,2.3953861026378007,True,-1.3909011710180628,0.1628396134927459,37
713,2.3954118409141474,True,-1.3909011710181258,0.16283928794431618,38
251,2.3953850977286018,True,-1.390901171018465,0.16283962620330633,39
391,2.3954126176769113,True,-1.390901171018535,0.16283927811949753,40
1076,2.3953843266471595,True,-1.3909011710190082,0.16283963595627038,41
746,2.3953838912213734,True,-1.3909011710192352,0.16283964146376806,42
845,2.395414624123727,True,-1.390901171019624,0.16283925274128444,43
955,2.3953831385282496,True,-1.3909011710196775,0.16283965098416225,44
526,2.3954148195023377,True,-1.3909011710197146,0.16283925027002383,45
521,2.395380890856631,True,-1.390901171020944,0.16283967941376598,46
130,2.395417411003149,True,-1.3909011710212849,0.16283921749179647,47
1082,2.395417580775785,True,-1.3909011710214139,0.16283921534448878,48
1063,2.3954177667821672,True,-1.3909011710215258,0.16283921299179271,49
909,2.3953796924081674,True,-1.3909011710217765,0.16283969457230316,50
1498,2.3953797857801793,True,-1.3909011710218693,0.1628396933913005,51
511,2.3954182430362905,True,-1.3909011710218895,0.16283920696793977,52
954,2.395418770524892,True,-1.390901171022278,0.16283920029608118,53
835,2.3954189254495044,True,-1.3909011710223704,0.16283919833654398,54
