,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
5,656,,170,7,15,True,-1.1499542361260442,0.0284988741528285,1
6,610,,73,8,18,True,-1.1514615506236778,0.031047290896154663,2
2,353,,100,6,22,True,-1.1528118395796727,0.03268601010691408,3
1,97,,122,15,23,True,-1.1547148860399101,0.03495923899509828,4
0,1054,sqrt,180,12,15,True,-1.2562256611672036,0.01147653224390933,5
3,1194,log2,158,25,2,False,-1.265215592004403,0.013579245372477152,6
9,1035,log2,81,8,8,False,-1.397642634489527,0.0068882042027279666,7
7,574,log2,14,30,9,False,-1.4143088645205661,0.016712526669485576,8
4,484,log2,58,29,12,False,-1.4509590678430446,0.013018986175136277,9
8,44,,84,12,7,False,-8.874076315519654,1.0631152159324577,10
