feature,importance
Recommended_no,0.10249058538358231
Recommended_yes,0.09837163891645813
Sentiment_negative,0.08877486734304789
Value For Money_1.0,0.06632251989698389
Sentiment_positive,0.05867816362098698
topic_punctual,0.05471667042108912
Value For Money_5.0,0.03941657459308085
Seat Comfort_1.0,0.03418151995955763
Cabin Staff Service_5,0.026843835831568436
Cabin Staff Service_1,0.026156515009957967
Ground Service_0,0.024296511683224883
comment_length,0.020822772876831267
Year Published,0.02043784922059093
Sentiment_neutral,0.02037596906279291
Value For Money_3.0,0.01449433633299205
Day Published,0.013396747987386512
Value For Money_4.0,0.013288068478562105
Seat Comfort_4.0,0.010743427865601007
Month Published,0.010582171620786632
Cabin Staff Service_4,0.010190679218357142
Seat Comfort_5.0,0.010108942303525902
Ground Service_4,0.009435796365282514
Trip_verified_Missing,0.00941795457080018
Seat Comfort_3.0,0.009235251154250602
ryanair_review,0.00920349114954318
Value For Money_2.0,0.008231050838884766
Cabin Staff Service_3,0.007219665726816618
Aircraft_Missing,0.007131342958649533
topic_comfort,0.006952703314852871
topic_service,0.0064497197898100945
Ground Service_3,0.006133642680838285
topic_other_fees,0.005632707445967176
Trip_verified_Trip Verified,0.005623862176524441
Seat Comfort_2.0,0.0053580646588727516
Aircraft_Boeing 737-800,0.005143043117100141
again,0.00473165026114315
Passenger Country_United Kingdom,0.004608700689969001
Food & Beverages_3.0,0.004009776055564692
Ground Service_2,0.004003268024755816
Ground Service_1,0.003658046894722474
Food & Beverages_-1.0,0.003646248871540858
Food & Beverages_2.0,0.00360076473045422
topic_boarding,0.0035260651007194546
Cabin Staff Service_2,0.0034024647722689532
Food & Beverages_1.0,0.003362570902622746
Origin_44,0.0033421386425059045
exclamation_marks,0.0031727156380940455
topic_delay,0.0030971029868807403
cheap,0.0030804355919530225
Type Of Traveller_3,0.003072273369872482
Year Flown_5,0.002833186029288062
Month Flown_8,0.0027916550029360703
online,0.002496690213540788
topic_clean,0.0023619486534396787
Origin_36,0.0023158656977117433
Passenger Country_Other,0.0022205157595901488
Type Of Traveller_2,0.0022199100576622264
Type Of Traveller_1,0.0022038538784656682
Year Flown_1,0.0021758138613430294
Year Flown_4,0.002166033656499031
never,0.002138581005965859
topic_luggage,0.002125245756133556
Destination_41,0.0021146456359057582
Food & Beverages_4.0,0.0021085803488012185
Month Flown_9,0.002057260150599583
Year Flown_2,0.0020422099957354543
Destination_51,0.0019769322917495592
Destination_39,0.0018997262628928874
question_marks,0.001888269528816882
delayed,0.0018313564885738087
Month Flown_11,0.0017629268265987362
Aircraft_Boeing 737,0.0016879719591935075
Origin_20,0.0015493046108549543
Passenger Country_Ireland,0.0015399639401094045
Type Of Traveller_0,0.001527860611353794
Inflight Entertainment_-1.0,0.0014545422014996731
Month Flown_4,0.00141281381822803
Inflight Entertainment_1.0,0.0013999689803178674
Wifi & Connectivity_-1.0,0.0013572974431613272
Trip_verified_Verified Review,0.0013439335963390453
Destination_20,0.0013328210352126866
Month Flown_6,0.0013226793700214718
Year Flown_3,0.00131499988270173
Food & Beverages_5.0,0.0012970214395756803
Trip_verified_Not Verified,0.0012848798195493397
Month Flown_5,0.0012058626802131272
Wifi & Connectivity_1.0,0.0011487059837789928
Passenger Country_Spain,0.0011482554668417553
Month Flown_7,0.0011376242196324945
Food & Beverages_0.0,0.0011014078760140508
Passenger Country_United States,0.001068319996620524
Origin_39,0.0010113979883309818
Month Flown_1,0.0009753987519627456
Month Flown_0,0.000935544218750574
Month Flown_2,0.0009314984544453807
Month Flown_10,0.0008765903427804403
Month Flown_3,0.0008233470431921062
Year Flown_9,0.0008104139990777186
legroom,0.0007935072637666943
Origin_22,0.0003019737959990359
