,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
190,3.2689177413153976,rbf,auto,4,balanced,True,False,0.01017225328092659,-1.1364709246280464,0.04207681249925468,1
150,2.9052020867814172,rbf,auto,14,balanced,True,False,0.14919477218213367,-1.136538206222467,0.042134177888060634,2
198,3.0487153092074086,rbf,auto,5,balanced,True,True,0.07219829685439723,-1.136699605592779,0.041833501467918435,3
249,3.393892583050958,rbf,auto,4,balanced,True,True,0.031334975946550235,-1.1367604606577075,0.04122732026130911,4
11,3.4422017556848528,rbf,auto,14,balanced,True,False,0.07808330050798323,-1.136849230499806,0.04187476716008675,5
236,3.2308674752036444,rbf,auto,9,balanced,True,False,0.03724661323313203,-1.1368736952487377,0.0427509564636116,6
90,3.0015162946871996,rbf,auto,13,balanced,True,False,0.13099278615555304,-1.136939119841162,0.04329479089820674,7
8,2.956069984217036,rbf,auto,14,balanced,True,True,0.07749239825343256,-1.137028650307362,0.04135759176618804,8
109,2.6160726405069163,rbf,auto,5,balanced,True,True,0.009145760463794027,-1.1371382227487434,0.04107609294564219,9
17,2.9497541333697654,rbf,auto,10,balanced,True,False,0.18633177315875885,-1.1372150861114771,0.04081123208670564,10
223,2.505300006397605,rbf,auto,6,balanced,True,True,0.0991497558517569,-1.1372667540231305,0.040986389326176736,11
177,2.7514424395117985,rbf,auto,13,balanced,True,True,0.042445529801611294,-1.1372965816724405,0.041311146784596325,12
35,3.039841091301673,rbf,auto,13,balanced,True,False,0.1895707141115962,-1.137412312434993,0.040834492097292625,13
91,3.2019668772577035,rbf,auto,14,balanced,True,False,0.178323429790132,-1.13742194886693,0.041445592473719386,14
50,2.644894872091223,rbf,auto,12,balanced,True,False,0.19813009082212016,-1.1374275048337983,0.0406399800464484,15
65,3.2798755458576236,rbf,auto,8,balanced,True,False,0.017827992999009768,-1.1374566394536045,0.04154562601233851,16
241,2.8588304841235024,rbf,auto,13,balanced,True,False,0.07948902148452708,-1.1374624671251379,0.04142527825169572,17
213,2.998442198929057,rbf,auto,4,balanced,True,True,0.14836449507898258,-1.1374761838205998,0.0416785586762268,18
