,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
143,904,0.016845622164105824,21,169,7.738445232013403,5,0.36942862007313965,0.8268562581084332,1,-1.1486889494208339,0.045943029527414074,1
28,362,0.11828959476551316,43,147,8.172322002012159,3,0.21698090453033655,0.7378639580483644,1,-1.150491407942303,0.052212196310042196,2
90,896,0.11472045520300224,18,135,4.593568079461724,5,0.30497985702653096,0.9113665656192403,1,-1.151537924799398,0.04829028663468223,3
169,1263,0.03189351973582303,25,190,9.499711839502254,4,0.054649670448119955,0.911235711036959,1,-1.1521011401100953,0.03818921934401988,4
97,724,0.06537552962944075,2,102,1.8453101935637732,8,0.07046718025631511,0.9216636765264951,1,-1.1521585701345,0.03947239168017705,5
7,1945,0.11401360423556216,43,194,8.422947745949985,4,0.31859396532851686,0.6658970615104421,1,-1.1526900935344042,0.04581051629761206,6
185,685,0.03139612776539168,31,66,3.9216121144519662,7,0.7820469411996321,0.5445855259186969,1,-1.1539218517424341,0.045607093815903915,7
135,293,0.06880893584419431,48,116,4.00773060875326,18,0.5915790681917336,0.8381991651594096,1,-1.154204036777193,0.040258851927237764,8
62,316,0.09579880547500368,14,102,1.031338688359326,23,0.8598286243245817,0.931449752347529,1,-1.1555677742184622,0.04601198899045032,9
207,1070,0.018150821218494553,43,15,2.4711323401014647,14,0.486094793134495,0.7859942278846733,1,-1.155620937002896,0.0442973019967784,10
114,1288,0.16990742618390314,36,8,2.3570174606499976,21,0.7529969055176604,0.829661478305717,1,-1.1558007641987162,0.04708126554193863,11
84,182,0.15522416881436962,11,148,2.4109483232963185,10,0.5892980370022173,0.9140340947350665,1,-1.1562610701866372,0.04764372467101007,12
232,1577,0.07540663231264774,39,85,8.779011590413274,19,0.4100989184345227,0.8797304056883344,1,-1.1568862485876643,0.043531022275735284,13
231,688,0.18415069006745186,10,162,7.384592092513265,21,0.41283888111564193,0.9774024423791041,1,-1.157528297002619,0.049743142885507276,14
103,791,0.08575452519025788,38,29,6.075652222935728,6,0.5688139570974149,0.5906700803141515,1,-1.1577288790431617,0.04923146433286306,15
122,893,0.012440614463608904,37,46,5.990393647773264,4,0.7741631607922627,0.4148656253146383,1,-1.1580090525073117,0.05235040469719284,16
78,1827,0.02554692739299697,42,158,6.981717140197452,4,0.5878195507323634,0.3598187057457923,1,-1.1584318671719107,0.04765550748860138,17
126,1419,0.02378430787344376,30,44,9.255785129067764,14,0.3806910160232178,0.7735342018345406,1,-1.1584494431359986,0.042500483941755825,18
249,362,0.10935337177183388,3,88,6.758512450873759,3,0.5985315718343113,0.3969969359464595,1,-1.1585618077781894,0.04704918761766383,19
66,1034,0.0326929204034896,43,145,5.495388823237355,26,0.7834830899664905,0.9467325974528733,1,-1.1588366609445493,0.03820212738225005,20
158,1608,0.1377898770668524,18,121,6.372415797894869,23,0.7608084898062246,0.9585890850738911,1,-1.158993194167493,0.0446311430380877,21
246,956,0.1745228637027357,40,149,7.666661352004059,10,0.28205797519265474,0.7827202600914233,1,-1.1590282722337104,0.04492517609482963,22
75,1356,0.14908222462132953,19,52,6.957586889846171,15,0.2604602663093487,0.9199245581258728,1,-1.1594790070716126,0.041936893817796556,23
146,593,0.053604621498817305,23,7,1.3228621112533039,11,0.4085245431610107,0.7018573946292954,1,-1.1599724014537756,0.04528074896510425,24
179,1163,0.19130274388891602,4,101,5.437889079973992,24,0.5209182302391805,0.8840772064460867,1,-1.1600511072685005,0.04010813376321553,25
74,179,0.12120100772851691,48,121,9.24653330223596,21,0.9781216620667281,0.8040881565364667,1,-1.160259882527288,0.041058672787729934,26
175,1480,0.016973032046764983,5,101,4.574420977737073,14,0.7503928880513062,0.6267080091057675,1,-1.1603396266272532,0.04264962769245571,27
178,895,0.02620924318152959,49,84,0.6152702623923505,13,0.500916977727983,0.7261859125516991,1,-1.1606846497528516,0.04312998661104679,28
34,559,0.1415225784600687,34,190,3.6772580305943356,16,0.8507311763892361,0.6531365700567425,1,-1.1609329099280368,0.0412883959005937,29
107,814,0.04417751747801317,3,139,4.76629484126412,15,0.2653237987744904,0.8189013502397872,1,-1.1612756429062672,0.04227451642862065,30
140,264,0.17604397291339835,5,185,2.04994295415821,20,0.8571395034252229,0.7250442625371025,1,-1.1616628152810669,0.03710803091422986,31
147,227,0.1466367712890963,7,88,8.15064428402457,18,0.6943096390335578,0.9015665782240218,1,-1.16176558023195,0.04925885906485609,32
69,1619,0.026967542817038385,20,112,3.706521470668909,8,0.09053529283548076,0.7091798048849313,1,-1.1617953482791246,0.03471768045907708,33
54,901,0.1331700196104433,6,183,3.7462261462647124,4,0.4045196870533997,0.43951313274559334,1,-1.1623266216325132,0.04646710548525074,34
173,1143,0.05326480460731071,10,125,5.2504150086026815,3,0.6334801437661916,0.8027619902585763,1,-1.1625282775934007,0.05071360185193454,35
58,1376,0.02387226017503309,32,38,3.365642148887265,14,0.20383322344140348,0.9062971355365032,1,-1.1630560102168255,0.043289521132747616,36
33,1400,0.15243584426950718,34,51,7.465014051180241,14,0.2320266163659542,0.6554416469075746,1,-1.1631202928561861,0.03488467243985184,37
228,1268,0.08485935342795853,31,29,8.689149844787181,18,0.9788449745265251,0.6650160268674353,1,-1.1631703601267194,0.03894798983299665,38
40,1411,0.124012234017873,25,178,9.900638501042632,18,0.6990694987082233,0.9367932264191732,1,-1.163423908347843,0.04869742267028871,39
102,210,0.10968843978581146,48,37,5.577522659504374,4,0.791279526221265,0.6823112959530447,1,-1.1636496528435791,0.052026041851123604,40
205,1963,0.06976717726746277,13,181,6.253146602139478,8,0.6168147331169499,0.6204385360438492,1,-1.1638160629032535,0.05534328030713179,41
