,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
171,994,0.12949517252638604,23,6,0.4076410609247276,2,0.4468711475476472,0.73204593855387,4,-0.3751044934091747,0.04996438976036684,1
22,1634,0.1455128723684565,20,150,3.4867598729172937,2,0.47680542511871105,0.9783251227163527,3,-0.38848650462548917,0.03381250707438799,2
431,1503,0.13568529132291743,33,147,0.09988776658449373,2,0.45293585300177047,0.9692985757418127,3,-0.41838527402924564,0.02914964018688516,3
116,551,0.20774575639108858,33,168,1.4109184877771357,3,0.6461988242127451,0.7952731124186906,2,-0.41967721180980294,0.054487335887643276,4
248,1133,0.17001419373983193,44,152,7.330812960296748,1,0.3271805095304177,0.811160838899547,3,-0.42021363882248935,0.03878926082268678,5
458,1307,0.20218402938576496,4,93,4.0189719989073005,4,0.6442206385113555,0.9438789700610464,8,-0.4208558789900116,0.015375976383908422,6
280,1029,0.11547992442453527,26,157,0.7941658464302952,4,0.45220699007432225,0.9624536072082323,5,-0.4228261945247513,0.033186640493565796,7
208,401,0.15490337027972365,12,22,6.032294102133722,4,0.3621748225160109,0.9703364980349504,6,-0.42305762643662775,0.03673836043006005,8
108,574,0.19397112328255212,3,165,9.184647249393011,2,0.4345425263209591,0.745706920022275,4,-0.4242539388658619,0.05654351622188308,9
373,1622,0.08956732510043139,28,132,0.44921298995615855,2,0.2382191017382409,0.8611057593849007,4,-0.4282242800119166,0.03501743406116892,10
410,1371,0.15468956357000022,27,95,6.13301684887379,3,0.35317862201522177,0.8736083890835035,4,-0.4311474140369782,0.03894983115213626,11
111,1051,0.12907700346400877,14,65,2.051496404820072,3,0.4067340581616817,0.8658496494908094,8,-0.43370178281242044,0.06555354066182999,12
144,259,0.14920412361075847,25,16,2.2382761482262308,3,0.6090083958062321,0.9100126003441072,3,-0.4359553222867184,0.015079445748670478,13
470,1394,0.16540985713035125,16,66,1.263664813145106,2,0.537097746383403,0.838824947399758,2,-0.44026231361621393,0.017115049646423672,14
340,1133,0.18773181605307976,24,57,0.7178580622651303,2,0.10710733598765618,0.8664485712284369,9,-0.44070719895755495,0.05424495050793912,15
194,835,0.11969994433029535,34,38,2.2727962726315147,1,0.3105315663439102,0.8584690766437021,5,-0.4413562470427199,0.034808722409247816,16
313,659,0.19332704716824148,24,163,3.711824234376276,3,0.6874742467524142,0.8536958480549525,3,-0.4427073958613305,0.014762407492754625,17
491,1334,0.16023542739080857,41,70,2.9427673663711436,2,0.5329117697832392,0.7020106210439212,6,-0.4431979595930934,0.016452484932030078,18
468,1235,0.16611120537744278,47,63,4.8784431854401245,3,0.38801193184220995,0.9468875223511602,5,-0.44333409847502947,0.06388628416032417,19
314,1032,0.11516251977466475,35,10,1.4260414408190873,4,0.3204496380227801,0.9404296667200931,4,-0.4438842848306148,0.03448362433051129,20
487,276,0.1299255136919843,5,46,3.397802422988438,2,0.49949658228648863,0.8270198801030353,2,-0.4440933867382876,0.03598159882435547,21
388,1927,0.16614637064018023,26,84,9.32934862569672,3,0.45247244098028244,0.952863799674583,5,-0.4514214437254333,0.05390818745787582,22
278,1647,0.1330596050139604,20,142,5.052167735766382,1,0.35785550051099574,0.9617170209299848,5,-0.4517023692926645,0.036039975372163385,23
92,1719,0.20799204647798908,14,68,1.3883477344202038,2,0.060066226673486524,0.8817071888876398,5,-0.4537500701689142,0.04250355745264702,24
483,1313,0.19299317301559374,9,15,3.7976152291931746,3,0.6209710277479773,0.794991422700903,1,-0.4554349371224398,0.015233693978350506,25
75,1453,0.16929435513477548,11,20,2.5825438829895835,1,0.5611370784798361,0.9488346800911494,3,-0.45661391776514887,0.01683002498613862,26
5,1685,0.17663898234723288,36,107,7.5537141031765245,1,0.4918973596482705,0.8760609974958404,7,-0.4594586279765586,0.0739208759050922,27
385,1170,0.06428771552684004,49,121,4.05761168615061,3,0.20972274881046846,0.8301180536092124,9,-0.4606098006282088,0.03404245065602991,28
249,701,0.16675835689707946,37,61,0.3532135494023907,2,0.29075380926173416,0.9463941801040716,2,-0.46084193328512624,0.04053263528822697,29
414,593,0.1575834786708051,47,76,2.062274050841399,3,0.5968763799976718,0.7801128071470503,6,-0.46255686824749376,0.059087354608420004,30
21,1324,0.1732863746438768,17,127,5.082087767407186,1,0.32507130953119695,0.9529223322374318,6,-0.46400002619862396,0.06478365021275417,31
119,1349,0.09188233043824809,31,56,2.9447575954191767,1,0.5030776372008159,0.7136912443282116,4,-0.46440659936298523,0.0440156040827908,32
41,1219,0.1930427455252961,48,129,0.9388329008129175,2,0.05597294045167046,0.871325789976043,5,-0.4647835215436668,0.04345240084508737,33
110,1207,0.05253615686824526,8,108,1.4867272775311295,1,0.18387679912406668,0.9322353401112173,6,-0.46520288109730334,0.03297941566208931,34
453,1832,0.0858255316751294,35,194,2.1164589856986122,4,0.6960445224736919,0.931536067214237,3,-0.4653152305422773,0.01537464523300534,35
461,1030,0.15748521715413547,25,182,0.3003600532939281,1,0.1653563321128374,0.9387105679846758,8,-0.466528519576958,0.04162463279431886,36
172,1424,0.05942064680202929,14,125,3.290274378146622,1,0.0576781463525454,0.7655997923957989,2,-0.46762049105098863,0.03242035263402531,37
85,1677,0.159087894836866,45,172,3.374568338719181,3,0.47360448323649457,0.9336797938856677,6,-0.4686925184518512,0.07970858891314533,38
170,1441,0.18419382474921714,29,114,8.148351137465122,4,0.570157810366224,0.9451776699462423,9,-0.46883295472643577,0.014362801099923689,39
53,950,0.08098103809254412,29,114,0.8329441119525964,4,0.679243083835516,0.8556806714936652,9,-0.46884317379258744,0.015032899170431316,40
493,1369,0.06977142705180615,49,92,7.297219064974222,1,0.2431071559188044,0.842707484649309,7,-0.46898789942563807,0.03165938683610135,41
142,1230,0.19854635482702515,46,60,2.2049620907017538,2,0.1930206440929203,0.9973411291574497,4,-0.4695079753972872,0.05510461062820709,42
273,1883,0.16014590139986945,3,134,9.092302058615601,1,0.4525439841161804,0.7955184845526156,9,-0.4702039454843807,0.039153340114369856,43
488,1309,0.1345379081899595,47,102,1.4226523977681542,3,0.5679344684186571,0.8822476625749006,1,-0.4704868611490471,0.017716262631734057,44
152,1347,0.11149354675216724,40,16,6.169369183757421,2,0.6673860005866161,0.7004480445920438,2,-0.47151341664557045,0.05443482763219141,45
257,498,0.10923327682264389,48,50,8.398122856356173,3,0.5136670789314816,0.9570260798140766,1,-0.47189014024003606,0.04431668307154143,46
