feature,importance
Recommended_no,0.08156409561805841
Recommended_yes,0.08001349495725397
Sentiment_negative,0.07758260743914339
Value For Money_1.0,0.05640492818239091
topic_punctual,0.05049409959297644
Sentiment_positive,0.04576490259939245
Ground Service_0,0.0451169023679428
Value For Money_5.0,0.034841763557867694
Cabin Staff Service_1,0.027668847183472674
Seat Comfort_1.0,0.02757480928688854
Cabin Staff Service_5,0.024433403649894606
Ground Service_4,0.022751018056731732
Year Published,0.018675257803644797
Sentiment_neutral,0.018319041941533182
comment_length,0.018067890791623947
Value For Money_3.0,0.01388065585386704
Day Published,0.012893855573969298
Cabin Staff Service_4,0.01246486169266988
Value For Money_4.0,0.012222339466713665
Ground Service_3,0.01211770760439551
Seat Comfort_4.0,0.010782492364316311
Month Published,0.010603687735165315
Seat Comfort_3.0,0.01050023321502128
Value For Money_2.0,0.009018887307006541
Trip_verified_Missing,0.00875903370848235
Seat Comfort_5.0,0.008728430751307038
Aircraft_Missing,0.008566032959684724
ryanair_review,0.008039394405138536
Cabin Staff Service_3,0.007927491843660631
topic_comfort,0.007509384499342997
topic_service,0.007417143105864327
topic_other_fees,0.007150038396038877
Aircraft_Boeing 737-800,0.00692378394751165
Year Flown_1,0.0063142422012321545
Seat Comfort_2.0,0.006123937638003164
Trip_verified_Trip Verified,0.0057052531795681715
Food & Beverages_1.0,0.005532242005543058
Cabin Staff Service_2,0.004943683057282111
Passenger Country_United Kingdom,0.004933905052309684
again,0.00485515924236431
Ground Service_2,0.004672833877699796
Ground Service_1,0.0046615617132545
topic_boarding,0.004476507666339663
Food & Beverages_3.0,0.004264817418711366
Food & Beverages_-1.0,0.004235099463998068
Food & Beverages_4.0,0.003983147579087108
Food & Beverages_2.0,0.003842684568527619
topic_delay,0.00381236508451764
exclamation_marks,0.0036632873672697596
Type Of Traveller_1,0.003574233683258633
Type Of Traveller_2,0.0035518351489752377
Origin_36,0.0035244675576717047
Type Of Traveller_3,0.0034418304401156318
topic_luggage,0.0030602364461869377
cheap,0.0028530338678329622
topic_clean,0.002805896226072493
Destination_51,0.0027802518222384276
online,0.002735069877794075
Month Flown_6,0.0027180516863566546
Month Flown_8,0.002691921870243986
Month Flown_9,0.0026828667603892658
never,0.0026741172653445156
Year Flown_5,0.0025688753012716504
Year Flown_2,0.002494772388996251
Destination_39,0.002298635932514589
question_marks,0.00222545168012992
Inflight Entertainment_-1.0,0.002177884749433919
delayed,0.002171956722202703
Aircraft_Boeing 737,0.0020166308633586226
Month Flown_5,0.002015351154917847
Food & Beverages_0.0,0.0018509544047033437
Inflight Entertainment_1.0,0.0018090432908018587
Origin_22,0.0017984063263457436
Origin_44,0.001790589437156884
Year Flown_4,0.0017820506043705055
Trip_verified_Not Verified,0.0016789290323283412
Month Flown_7,0.0016371738453021777
Trip_verified_Verified Review,0.0015901503235088998
Destination_20,0.0015618956335435956
Food & Beverages_5.0,0.0015550907618729572
Passenger Country_Ireland,0.0014925567298294158
Type Of Traveller_0,0.0014794528702030316
Wifi & Connectivity_1.0,0.0014711443869342012
Month Flown_4,0.001457042103249912
Wifi & Connectivity_-1.0,0.0014219809852751113
Passenger Country_Other,0.0014137157421139552
Year Flown_3,0.001401293408480636
Passenger Country_United States,0.0012584501485017655
Month Flown_10,0.0012438098369807152
Month Flown_11,0.0011696037654393401
Destination_41,0.0011021127100637126
Origin_20,0.0010911595430409889
legroom,0.000919979888078367
Origin_39,0.0009183522208520026
Month Flown_1,0.0008981110055940275
Month Flown_0,0.0008971214252475648
Passenger Country_Spain,0.0008886314998865494
Year Flown_9,0.000860823771701013
Month Flown_2,0.000821274105587072
Month Flown_3,0.000802422453414687
Destination_60,0.0007855529306269231
Year Flown_6,0.0007837080344132588
Destination_52,0.0007780555069926137
Destination_16,0.0007422462528670327
Year Flown_8,0.0007003395052341537
Destination_3,0.0006720302052332836
Year Flown_7,0.000632001358805721
Passenger Country_Germany,0.0005663379283268589
Destination_42,0.0005431136809689945
Origin_64,0.0004890752789837146
Origin_23,0.00047309786162297855
Origin_46,0.0004548282882012305
Origin_2,0.00045006328580372927
Origin_38,0.00044139875321827217
Passenger Country_Portugal,0.0004408038804386957
Destination_22,0.0004242678116067396
Destination_21,0.0004185761576604466
Passenger Country_India,0.00039138948757386677
Destination_43,0.00038911898481218214
Origin_26,0.00037011055497413814
Passenger Country_Italy,0.0003354578139024202
Origin_3,0.0003316382934909828
Destination_10,0.00033108982123726413
Origin_27,0.00032862962391863885
Origin_53,0.00032817401832056065
Passenger Country_Canada,0.0003209443030653323
Origin_40,0.0003084372770772385
Passenger Country_Greece,0.0003024097025445052
Origin_12,0.0002680152837370435
Destination_2,0.00026766745438050064
Destination_29,0.0002673941959548248
Passenger Country_Australia,0.00025923707680069606
Destination_46,0.00025301022247939663
Origin_29,0.0002521779550359648
Destination_57,0.00023034873895937756
Passenger Country_Netherlands,0.00021053594336065237
Destination_37,0.00020787328009932627
Destination_24,0.00020678982560457356
Origin_5,0.00018028753839965982
Destination_33,0.0001736810598751488
Destination_19,0.00016726198321410566
Destination_34,0.00016694274736943693
Cabin Staff Service_0,0.00016040025698687167
Inflight Entertainment_2.0,0.00015949673747552056
Origin_25,0.00015417744787511668
Origin_35,0.00014643098904906234
Origin_13,0.000146057259863409
Origin_34,0.00013892167912977297
Origin_37,0.00013849214604068347
Origin_14,0.0001383061977591109
Destination_0,0.00013749362589439356
Origin_32,0.0001298492329574712
Passenger Country_Denmark,0.00012644262533734857
Origin_50,0.00011971614512111973
Destination_27,0.0001141603140480196
Destination_62,0.00011316026918605601
Passenger Country_Belgium,0.00011080416493159473
Destination_13,0.0001096843651096539
Destination_66,0.0001078701304597042
Passenger Country_France,0.00010697891530589697
Destination_11,0.0001034348448400359
Destination_5,0.00010286048697605056
Aircraft_Boeing 737 MAX,0.00010229962643610872
Origin_57,9.579802509459786e-05
Passenger Country_Romania,9.464230173854766e-05
Destination_23,8.676572199511177e-05
Origin_7,7.648960444164346e-05
Seat Type_Economy Class,7.573800657532584e-05
Destination_44,6.796898584198762e-05
Origin_6,6.776786658805711e-05
Passenger Country_Poland,6.748536285667825e-05
Passenger Country_Austria,6.519811597440332e-05
Destination_72,6.459929667704671e-05
Passenger Country_Sweden,6.344490772178531e-05
Destination_49,6.256061395376864e-05
Destination_15,6.0771876361862905e-05
Origin_49,5.773401550134564e-05
Origin_31,5.772503684684383e-05
Origin_56,5.758393737899347e-05
Destination_25,5.737360599927484e-05
Passenger Country_Ukraine,5.580853551791591e-05
Origin_15,5.520519048922016e-05
Destination_47,5.1055027561689765e-05
Origin_62,5.009875468077145e-05
Aircraft_Other,5.008029539532428e-05
Origin_1,4.999730407143865e-05
Origin_19,4.8975784078304465e-05
Seat Comfort_0.0,4.840639598249967e-05
Destination_12,4.5850108896994845e-05
Origin_11,4.564670768941121e-05
Destination_69,3.506332756933894e-05
Destination_75,3.350048838242435e-05
Seat Type_Premium Economy,3.3383337155141014e-05
Passenger Country_Czech Republic,3.29676750529068e-05
Origin_9,3.213940987941928e-05
Origin_16,3.1065409323078736e-05
Destination_61,2.985061875471416e-05
Destination_58,2.855953693402531e-05
Origin_67,2.78356350538642e-05
Inflight Entertainment_3.0,2.7045074793645824e-05
Destination_55,2.6933947922326192e-05
Destination_31,2.68209533815892e-05
Passenger Country_Norway,2.641741229687364e-05
Origin_60,2.5824762021926837e-05
Aircraft_Airbus A320,2.551718141075089e-05
Destination_73,2.5403489522176057e-05
Origin_65,2.5306580638394368e-05
Aircraft_Boeing 738,2.3910755917607765e-05
Destination_63,2.3101891027144006e-05
Value For Money_0.0,2.1307578449893343e-05
Destination_68,2.129442451527386e-05
Passenger Country_Israel,2.102116710354764e-05
Destination_38,1.954348749673549e-05
Aircraft_Boeing 747,1.948285793797674e-05
Origin_33,1.8836253610326296e-05
Origin_52,1.8446362178692743e-05
Origin_24,1.8341584064081326e-05
Destination_59,1.7921285184464392e-05
Wifi & Connectivity_3.0,1.774946164364016e-05
Origin_30,1.637205706274298e-05
Wifi & Connectivity_2.0,1.5911825735138296e-05
Destination_40,1.5122725357748302e-05
Origin_61,1.4394927137928862e-05
Passenger Country_Hungary,1.4280131399172171e-05
Origin_0,1.376400532012375e-05
Origin_45,1.371583295600294e-05
Destination_18,1.371179229527116e-05
Destination_7,1.3577804643062841e-05
Passenger Country_New Zealand,1.333835281419522e-05
Destination_76,1.2772811882148845e-05
Passenger Country_Lithuania,1.1821188472137317e-05
Destination_48,1.0902431656941328e-05
Destination_36,1.068476322070153e-05
Passenger Country_Slovakia,1.0620981409868218e-05
Destination_1,9.543852351242309e-06
Origin_28,9.523836097861029e-06
Destination_67,8.505358931993915e-06
Destination_9,7.658332644511014e-06
Destination_28,7.596480875885405e-06
Destination_53,7.228715044823967e-06
Year Flown_10,6.688294836589827e-06
Destination_74,6.366575345764035e-06
Passenger Country_Finland,6.251276628402654e-06
Origin_21,5.544788263985603e-06
Origin_58,5.148027863680669e-06
Origin_55,5.052201131311858e-06
Destination_17,4.9877783445210025e-06
Passenger Country_Singapore,4.976186874746817e-06
Origin_8,4.303833135521001e-06
Origin_48,3.8511416209585364e-06
Origin_51,3.669090178824334e-06
Origin_54,3.5256528880808702e-06
Destination_14,3.5144838259495892e-06
Destination_32,3.4710848061824863e-06
Destination_6,3.2754693923624917e-06
Origin_17,3.2005142307799287e-06
Destination_26,2.78239249478209e-06
Year Flown_0,2.71032881837823e-06
Passenger Country_Switzerland,2.5760372743351408e-06
Passenger Country_Belarus,2.299634677716217e-06
Origin_63,2.2916225479280753e-06
Inflight Entertainment_4.0,2.096497334848967e-06
Origin_66,1.8494545194334747e-06
Origin_4,1.1625336634029792e-06
Inflight Entertainment_5.0,1.1431933941085817e-06
Destination_50,1.0626421505102366e-06
Destination_54,9.974779118548337e-07
Destination_56,7.748823654430836e-07
Passenger Country_South Africa,4.871106547032499e-07
Destination_30,1.3363288309208205e-07
Destination_71,8.1147413910814e-08
Origin_59,8.113879829275406e-08
Destination_65,7.280006157495555e-08
Destination_64,6.388285601618559e-08
Passenger Country_Cyprus,0.0
Seat Type_Business Class,0.0
Seat Type_First Class,0.0
Origin_10,0.0
Origin_18,0.0
Origin_41,0.0
Origin_42,0.0
Origin_43,0.0
Origin_47,0.0
Destination_35,0.0
Destination_4,0.0
Destination_45,0.0
Destination_70,0.0
Destination_8,0.0
Wifi & Connectivity_4.0,0.0
Wifi & Connectivity_5.0,0.0
Day Flown_0,0.0
