,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
499,12,distance,kd_tree,333,99.91849098133589,manhattan,-0.7667431313895602,0.05719835145209277,1
424,12,distance,ball_tree,370,3.24693083201174,manhattan,-0.7667431313895602,0.05719835145209277,1
132,12,distance,ball_tree,481,83.78690037875887,manhattan,-0.7667431313895602,0.05719835145209277,1
234,12,distance,ball_tree,374,82.0553330781833,manhattan,-0.7667431313895602,0.05719835145209277,1
241,12,distance,ball_tree,351,75.99107494699719,manhattan,-0.7667431313895602,0.05719835145209277,1
419,12,distance,ball_tree,422,78.38345232013403,manhattan,-0.7667431313895602,0.05719835145209277,1
125,12,distance,kd_tree,460,89.66171489506598,manhattan,-0.7667431313895602,0.05719835145209277,1
245,12,distance,ball_tree,366,26.144243951179845,manhattan,-0.7667431313895602,0.05719835145209277,1
121,12,distance,kd_tree,355,26.620694359445807,manhattan,-0.7667431313895602,0.05719835145209277,1
247,12,distance,ball_tree,369,76.69991321722287,manhattan,-0.7667431313895602,0.05719835145209277,1
119,12,distance,ball_tree,393,71.24840839871092,manhattan,-0.7667431313895602,0.05719835145209277,1
118,12,distance,kd_tree,386,33.255076423860054,manhattan,-0.7667431313895602,0.05719835145209277,1
248,12,distance,kd_tree,348,27.867248202530735,manhattan,-0.7667431313895602,0.05719835145209277,1
252,12,distance,ball_tree,478,88.66536026583451,manhattan,-0.7667431313895602,0.05719835145209277,1
253,12,distance,ball_tree,401,14.401522845064074,manhattan,-0.7667431313895602,0.05719835145209277,1
416,12,distance,ball_tree,404,34.58658571498351,manhattan,-0.7667431313895602,0.05719835145209277,1
112,12,distance,ball_tree,416,86.11366715168569,manhattan,-0.7667431313895602,0.05719835145209277,1
255,12,distance,ball_tree,398,71.40797680992236,manhattan,-0.7667431313895602,0.05719835145209277,1
75,12,distance,kd_tree,464,5.077514155476392,manhattan,-0.7667431313895602,0.05719835145209277,1
301,12,distance,kd_tree,320,58.077830466891186,manhattan,-0.7667431313895602,0.05719835145209277,1
470,12,distance,ball_tree,371,93.43961953765304,manhattan,-0.7667431313895602,0.05719835145209277,1
469,12,distance,kd_tree,335,70.742026724684,manhattan,-0.7667431313895602,0.05719835145209277,1
402,12,distance,kd_tree,391,66.89239419101514,manhattan,-0.7667431313895602,0.05719835145209277,1
286,12,distance,kd_tree,365,7.234136251124145,manhattan,-0.7667431313895602,0.05719835145209277,1
134,12,distance,ball_tree,480,54.1354631568148,manhattan,-0.7667431313895602,0.05719835145209277,1
281,12,distance,ball_tree,337,28.687764814720374,manhattan,-0.7667431313895602,0.05719835145209277,1
93,12,distance,kd_tree,338,49.56137535862266,manhattan,-0.7667431313895602,0.05719835145209277,1
433,12,distance,kd_tree,378,73.02025816322958,manhattan,-0.7667431313895602,0.05719835145209277,1
264,12,distance,ball_tree,340,46.913575623826134,manhattan,-0.7667431313895602,0.05719835145209277,1
104,12,distance,ball_tree,453,24.01852682415553,manhattan,-0.7667431313895602,0.05719835145209277,1
107,12,distance,kd_tree,477,28.95603417967586,manhattan,-0.7667431313895602,0.05719835145209277,1
414,12,distance,ball_tree,403,59.304156096969216,manhattan,-0.7667431313895602,0.05719835145209277,1
465,12,distance,kd_tree,489,95.40593396866133,manhattan,-0.7667431313895602,0.05719835145209277,1
