,param_hidden_layer_sizes,param_activation,param_solver,param_alpha,param_learning_rate,param_max_iter,param_early_stopping,param_n_iter_no_change,param_tol,mean_test_score,std_test_score,rank_test_score
195,"(375, 50, 275, 75, 450, 175)",relu,adam,0.5518225952593397,invscaling,7500,True,14,0.00019855268877182078,-0.7863657753935692,0.07929422596694786,1
243,"(425, 50, 250, 450, 475)",relu,adam,0.12043876203499594,constant,7500,True,13,0.0010321913107212725,-0.7918264219490749,0.058297567017646476,2
66,"(400, 50, 400, 250, 175)",relu,adam,0.0517817211686077,invscaling,7500,True,14,0.0007917654620890069,-0.7920047086294606,0.0572735604470082,3
62,"(425, 50, 250, 450, 475)",relu,adam,0.027716771873704703,adaptive,7500,True,14,0.0002797113689837104,-0.7941960499478848,0.06802398412202458,4
42,"(300, 275, 450, 500, 475)",relu,adam,0.9822683433294356,constant,7500,True,13,0.0005655138390294961,-0.7950252511096534,0.07191635807018443,5
98,"(275, 150, 300, 50, 300)",relu,adam,0.558504249735805,adaptive,7500,True,13,0.0006559874115307568,-0.7952042133810823,0.0579723827616876,6
24,"(400, 300, 150, 500, 150, 400)",relu,adam,0.22889816549162245,invscaling,7500,True,14,0.0009061064362700221,-0.7962503031080878,0.06374673351020362,7
238,"(475, 50, 375, 175)",relu,adam,0.2773656456967736,adaptive,7500,True,14,0.0006473379933955759,-0.7963226037170524,0.052286972124392476,8
49,"(250, 250, 500, 275)",relu,adam,0.5426402305548993,invscaling,7500,True,13,0.0013523090930279208,-0.7972916690930895,0.06656436346693267,9
226,"(200, 425, 425, 275, 400)",relu,adam,0.18067534512733352,adaptive,7500,True,13,0.0002697298929289942,-0.7987078465227698,0.06743574142146741,10
72,"(375, 50, 275, 75, 450, 175)",relu,adam,0.6118207462343522,adaptive,7500,True,14,0.0007008232390282109,-0.7997358256149883,0.07919973690932587,11
82,"(250, 300, 175, 400, 300, 275)",relu,adam,0.8449753109694546,adaptive,7500,True,13,0.0015092738738669998,-0.8014593426423906,0.06606701775800876,12
214,"(375, 75, 500, 350, 100, 425)",relu,adam,0.06834970535409159,invscaling,7500,True,12,0.0015856085781158751,-0.8030005304201338,0.06624074833332089,13
165,"(350, 250, 500, 350)",relu,adam,0.3839912213732114,constant,7500,True,14,0.0006844902035418204,-0.8031990819294291,0.07829626818906904,14
221,"(300, 75, 500, 200, 100)",relu,adam,0.3610738969400268,invscaling,7500,True,14,0.000784093154594807,-0.8049359492571531,0.05468959617177988,15
65,"(500, 200, 300, 400, 300)",relu,adam,0.12716051265188477,constant,7500,True,12,0.00052673732496884,-0.8056820375367829,0.07058208313902828,16
145,"(250, 300, 350, 250)",relu,adam,0.9866152487929797,constant,7500,True,13,0.0008642956959216602,-0.8075245682786788,0.07943851473740475,17
36,"(425, 50, 250, 450, 475)",relu,adam,0.4704006344460384,adaptive,7500,True,13,0.00418215936609692,-0.8094302142706864,0.06175574882752904,18
55,"(500, 200, 300, 400, 300)",relu,adam,0.9637199770892528,invscaling,7500,True,12,0.00105455515575173,-0.81008090180779,0.06482136007216112,19
28,"(300, 75, 200, 175, 50)",relu,adam,0.6477901205413623,constant,7500,True,14,0.0009232792657147087,-0.8113238606799043,0.0707306170046166,20
123,"(425, 50, 250, 450, 475)",relu,adam,0.35068755880659697,adaptive,7500,True,13,0.0022873746101186453,-0.8114675212928022,0.06848509041157551,21
48,"(75, 275, 375, 400)",relu,adam,0.23734908749680006,invscaling,7500,True,14,0.0016403039592619462,-0.8132640712793883,0.05607691257441764,22
163,"(500, 200, 375, 200, 250)",relu,adam,0.8166994394715771,adaptive,7500,True,14,0.0016068893708207105,-0.8141915125413546,0.07936646999456279,23
127,"(175, 275, 350, 275)",relu,adam,0.3475134082254142,invscaling,7500,True,14,0.0007443986095532462,-0.814771333200607,0.0893857645284847,24
111,"(100, 50, 450, 300)",relu,adam,0.08284842003530614,adaptive,7500,True,14,0.0009241713056850048,-0.8164186835559946,0.06284082310059196,25
130,"(300, 400, 425, 75)",relu,adam,0.6676577385210272,constant,7500,True,13,0.0003043430813323943,-0.8164752797783292,0.08143310373929645,26
184,"(175, 275, 350, 275)",relu,adam,0.45231794088980715,invscaling,7500,True,14,0.0013411322137857596,-0.8169037240241135,0.06714091204858894,27
173,"(375, 450, 75, 500)",relu,adam,0.6940484444671,adaptive,7500,True,14,0.0018284799675195973,-0.8170969155099952,0.05321626318992356,28
139,"(275, 100, 450, 100, 300, 50)",relu,adam,0.03057215273359416,adaptive,7500,True,13,0.0020858191625204125,-0.8176421087043109,0.07414624885473602,29
1,"(175, 50, 300, 275, 400)",relu,adam,0.1561186404424365,invscaling,7500,True,14,0.004430880728874677,-0.8176915502834643,0.08689110069229533,30
204,"(100, 50, 450, 300)",relu,adam,0.11433792592039684,invscaling,7500,True,13,0.004099276279736577,-0.8179047620414066,0.06403109851731105,31
125,"(100, 200, 50, 50)",relu,adam,0.39664278232127015,constant,7500,True,12,0.0008353674046451897,-0.8183749272059726,0.05171008678939331,32
84,"(350, 50, 275, 100)",relu,adam,0.5480718832480873,invscaling,7500,True,12,0.0021630883845571323,-0.8183936468893798,0.06856792513517337,33
117,"(350, 50, 275, 100)",relu,adam,0.24118483232963184,adaptive,7500,True,12,0.001473658985129544,-0.8199693625101864,0.07249028087451925,34
219,"(300, 100, 450, 475)",relu,adam,0.41289355060675226,invscaling,7500,True,13,0.0013320101661955341,-0.8200358151492164,0.057833078601079745,35
211,"(475, 50, 375, 175)",relu,adam,0.6331980633574475,invscaling,7500,True,13,0.00429053481589148,-0.8206638252040628,0.06350273850530214,36
180,"(300, 300, 450, 500)",relu,adam,0.9209418826173723,adaptive,7500,True,14,0.003056377178724646,-0.8207841619032943,0.07167774473866778,37
223,"(475, 75, 450, 250)",relu,adam,0.8730458358764083,invscaling,7500,True,12,0.0033939168335535867,-0.8221583210658714,0.09192912406303357,38
105,"(150, 100, 150, 275)",relu,adam,0.6970250558638148,invscaling,7500,True,12,0.0015048159479611517,-0.8231065931201866,0.05742930487910552,39
108,"(425, 150, 200, 250, 150, 50)",relu,adam,0.9744948076661665,invscaling,7500,True,13,0.0027804818317206017,-0.8247802247257358,0.06649165418303561,40
33,"(500, 375, 200, 200, 200)",relu,adam,0.41113701331823127,constant,7500,True,12,0.001297809453334862,-0.8256013151125849,0.06976180914664618,41
