,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
98,468,sqrt,113,17,6,False,-0.7053200774020373,0.0525236500606809,1
75,746,sqrt,80,5,6,False,-0.7057563389386956,0.0530530339360829,2
52,663,sqrt,143,7,6,False,-0.7059173446162463,0.05197499406205734,3
67,1156,sqrt,101,17,5,False,-0.7059735890866069,0.053174363006821795,4
58,1987,sqrt,197,8,5,False,-0.7060210605274309,0.05371496130664563,5
61,1456,sqrt,179,10,6,False,-0.7060603871455684,0.05370109466153757,6
51,808,sqrt,117,17,6,False,-0.706142414136529,0.05529989371551117,7
8,1708,sqrt,34,4,6,False,-0.7061426956109405,0.0526631145713584,8
91,926,sqrt,111,3,5,False,-0.7061974080131727,0.05414698803898485,9
70,839,sqrt,147,18,6,False,-0.7063142372948755,0.05431197844567117,10
47,1276,sqrt,148,3,6,False,-0.7063467352839776,0.05341399087321417,11
81,1958,sqrt,180,19,6,False,-0.706411444601949,0.05248759998691604,12
20,214,sqrt,143,30,8,False,-0.7064546172107876,0.04918039935099257,13
5,1384,sqrt,177,22,5,False,-0.7065491236374093,0.052119994263619775,14
28,1228,sqrt,120,2,6,False,-0.7066709945607065,0.05379243323927378,15
57,672,sqrt,58,2,5,False,-0.7067144296036265,0.05243140738370352,16
45,419,sqrt,132,3,5,False,-0.7067939467063556,0.05065640773065799,17
92,1921,sqrt,105,26,6,False,-0.7067963007479903,0.05372081743115306,18
17,1195,sqrt,165,11,5,False,-0.7068670738338454,0.05358853776907776,19
60,1260,sqrt,67,6,7,False,-0.7068730963400577,0.05287864980875213,20
43,1336,sqrt,58,4,5,False,-0.7068898108039241,0.05403254894943298,21
29,406,sqrt,161,10,6,False,-0.7068975973719549,0.05440547098307365,22
30,1914,sqrt,34,14,5,False,-0.7069232269268695,0.0542278677620707,23
89,1999,sqrt,192,2,7,False,-0.7071005523239094,0.05211700658962827,24
54,1734,sqrt,183,27,6,False,-0.7071045350690941,0.05433469115229715,25
16,1700,sqrt,153,5,5,False,-0.7072186873850529,0.05225486289844843,26
15,1225,sqrt,183,5,5,False,-0.7072203270280243,0.053216497517136196,27
36,1554,sqrt,47,21,7,False,-0.7072709450106813,0.05425974065161896,28
85,1327,sqrt,149,18,5,False,-0.7072751792922285,0.05213786365516555,29
13,1651,sqrt,130,8,7,False,-0.7072891336791793,0.054279822997494974,30
53,963,sqrt,112,21,6,False,-0.707296135725261,0.054624794750170166,31
18,919,sqrt,33,22,7,False,-0.7073904966778111,0.054695639523064124,32
33,1383,sqrt,48,14,7,False,-0.7074716492263426,0.05378814190106945,33
11,1569,sqrt,33,10,5,False,-0.7075072678180196,0.05256423412116359,34
59,1096,sqrt,163,3,5,False,-0.7075198622755845,0.052935696187143416,35
62,1354,sqrt,118,17,6,False,-0.7075334026957348,0.053612964109698596,36
87,607,sqrt,45,26,6,False,-0.707536265297629,0.054836490269743306,37
49,1407,sqrt,179,12,7,False,-0.7076485499923078,0.05418685736148431,38
66,1077,sqrt,172,19,8,False,-0.7076986994899853,0.05400619977874979,39
23,591,sqrt,82,18,6,False,-0.707740144893071,0.05002401311130705,40
95,1276,sqrt,120,9,4,False,-0.707756722307656,0.05231160056581854,41
64,1643,sqrt,94,9,4,False,-0.707842590435974,0.05125830057908128,42
2,530,sqrt,141,24,6,False,-0.7078440837720018,0.05425872938453695,43
3,330,sqrt,107,25,8,False,-0.7079296183289291,0.05117914923425182,44
35,995,sqrt,189,7,8,False,-0.7079784849730624,0.05523566375644641,45
27,1770,sqrt,170,23,8,False,-0.7079875780709017,0.054257530135916776,46
42,1733,sqrt,199,13,4,False,-0.7080031915844677,0.05145721303956326,47
44,898,sqrt,120,18,4,False,-0.7080312074312911,0.05304813346492328,48
12,291,sqrt,72,21,5,False,-0.7080383485382573,0.05011197243016384,49
14,1304,sqrt,27,15,6,False,-0.7080853526611526,0.05384285490706357,50
34,777,sqrt,90,23,6,False,-0.7081725513775259,0.05421754431545267,51
90,1366,sqrt,163,24,7,False,-0.7081976498618723,0.05415123144236598,52
50,1083,sqrt,142,25,4,False,-0.7082041402656524,0.052166535360685135,53
96,1326,sqrt,79,6,7,False,-0.7082244975474188,0.05352354647307832,54
71,1598,sqrt,52,23,7,False,-0.7082419679403971,0.05395197745719321,55
1,1838,sqrt,126,22,8,False,-0.7082842591864944,0.053983359887015706,56
77,298,sqrt,65,7,8,False,-0.708290042027595,0.056317760758856805,57
99,1882,sqrt,133,31,7,False,-0.7083988576964915,0.05342012494889061,58
94,1277,sqrt,77,7,4,False,-0.7084646982289724,0.05149292235980774,59
88,235,sqrt,32,8,7,False,-0.7084878654756364,0.056110006763494466,60
7,899,sqrt,78,29,5,False,-0.7084909519439628,0.05306469228870245,61
9,366,sqrt,70,10,8,False,-0.7085036514478882,0.05394012704857763,62
82,885,sqrt,73,4,5,False,-0.7085328229343203,0.05324008594441267,63
10,515,sqrt,37,26,7,False,-0.7085441693748528,0.05501994139458336,64
22,1695,sqrt,107,9,4,False,-0.7085992797303498,0.05170331288203845,65
0,1494,sqrt,122,30,7,False,-0.708637077193668,0.054634939504293184,66
78,1572,sqrt,143,25,4,False,-0.7087286729508483,0.05082987248479051,67
80,1127,sqrt,135,22,8,False,-0.7089278080712813,0.05354944466684913,68
21,720,sqrt,64,26,4,False,-0.7089543932230102,0.051649915632511596,69
73,997,sqrt,46,22,5,False,-0.7089600561749178,0.05422344434710409,70
84,689,sqrt,170,28,5,False,-0.7089915932822227,0.05373796266536315,71
26,1271,sqrt,91,34,7,False,-0.7090069413024115,0.05347025135797647,72
93,513,sqrt,82,23,8,False,-0.7092292873550595,0.0533896014397117,73
55,1934,sqrt,166,33,7,False,-0.70925800388962,0.054193364448978244,74
46,1448,sqrt,73,33,8,False,-0.7093234303454047,0.05656773541604056,75
83,1053,sqrt,43,33,5,False,-0.7093933117066005,0.05332916970542716,76
86,1905,sqrt,180,30,4,False,-0.7094710673901752,0.05306717201411304,77
39,1582,sqrt,135,4,8,False,-0.7094807642692911,0.053566637739670464,78
38,832,sqrt,148,28,4,False,-0.7095320838183767,0.051915099398531867,79
32,1394,sqrt,170,16,8,False,-0.7097284808805006,0.05372595160548891,80
6,1784,sqrt,77,26,8,False,-0.7099261874158157,0.05379465968691287,81
4,543,sqrt,169,3,8,False,-0.7099639659726051,0.05616639992652963,82
48,1933,sqrt,191,33,5,False,-0.7100117625397371,0.05268525668852189,83
37,1696,sqrt,147,29,5,False,-0.7102194160715667,0.05190325564104587,84
63,827,sqrt,167,25,4,False,-0.7102207553553244,0.0519821636428132,85
41,1831,sqrt,191,33,6,False,-0.7102730742769519,0.05321917981240216,86
69,1727,sqrt,52,21,8,False,-0.7103567748898331,0.054440167542323295,87
79,1322,sqrt,65,32,8,False,-0.7103710710200625,0.05537278396386379,88
72,1506,sqrt,41,9,8,False,-0.7104381826736937,0.05442819648447489,89
74,652,sqrt,116,34,7,False,-0.7104873787606639,0.054042378222076456,90
31,1957,sqrt,82,33,4,False,-0.7105242779187145,0.05318947005678501,91
65,298,sqrt,185,26,7,False,-0.7106081632352064,0.05829353629514628,92
24,578,sqrt,182,34,6,False,-0.7109913005728301,0.05501237931408571,93
56,1863,sqrt,71,34,4,False,-0.7110997937159087,0.05287310394361443,94
68,1803,sqrt,188,34,7,False,-0.7111676767314135,0.0542251644712394,95
19,416,sqrt,101,25,8,False,-0.7111829211425126,0.05473749609487731,96
76,357,sqrt,68,29,4,False,-0.7118081594839515,0.0540348183325611,97
40,1457,sqrt,174,34,4,False,-0.7118310421336804,0.05453505532760182,98
25,334,sqrt,24,29,5,False,-0.7119851621300402,0.054672485795471244,99
97,1083,sqrt,25,33,8,False,-0.7122024683282369,0.053844109720796965,100
