feature,importance
Recommended_yes,0.17944225871775293
Recommended_no,0.15800153035427147
Sentiment_negative,0.12422440995911896
topic_punctual,0.0867170678989433
Ground Service_0,0.07561939282303419
Sentiment_positive,0.06175985633484666
Value For Money_5.0,0.04957225130160031
Value For Money_1.0,0.047998107844413856
Seat Comfort_1.0,0.029083826456027362
Ground Service_4,0.025064979619568228
Cabin Staff Service_1,0.023168890531970618
Cabin Staff Service_5,0.018341404845881773
Year Published,0.011625061588018416
Sentiment_neutral,0.011261103135521165
topic_service,0.008793997734914964
Cabin Staff Service_4,0.00798618735447862
Value For Money_4.0,0.0072009194625443
Seat Comfort_4.0,0.006409160367626885
Value For Money_3.0,0.006329435837164929
Ground Service_3,0.006294482528674102
comment_length,0.005472054383595152
Seat Comfort_5.0,0.004532285716748888
Trip_verified_Missing,0.004190497347793277
Value For Money_2.0,0.003954388208857864
Seat Comfort_3.0,0.003937444984345813
Aircraft_Missing,0.0028790149998708654
ryanair_review,0.002796053623624267
Day Published,0.0027749002474776515
Year Flown_1,0.002328132801483007
Seat Comfort_2.0,0.002068616765853673
Cabin Staff Service_3,0.0019528732884962494
Month Published,0.0019072591627481259
Cabin Staff Service_2,0.0018037606059976617
topic_other_fees,0.0016172989030930425
Aircraft_Boeing 737-800,0.001399293372002327
Passenger Country_United Kingdom,0.0013517487410453688
Ground Service_1,0.0013159447056150604
Ground Service_2,0.0011939018031863575
Food & Beverages_3.0,0.0011407994709780169
topic_comfort,0.001136235598005027
Trip_verified_Trip Verified,0.001086260817952277
topic_boarding,0.0009081006783398886
Food & Beverages_-1.0,0.0007974155151401297
Food & Beverages_4.0,0.0007140835105582846
Food & Beverages_1.0,0.0006753893785962265
Inflight Entertainment_-1.0,0.0003060309559591366
topic_luggage,0.00029320156900035084
Year Flown_5,0.00028662979137129786
Inflight Entertainment_1.0,0.00023480266799431876
Wifi & Connectivity_1.0,5.125568789722794e-05
