,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
379,4.959424343124636,rbf,auto,3,0.004747533985288829,-0.8060084009407034,0.048798539065679235,1
258,4.948870631092931,rbf,auto,27,0.004933576243964899,-0.8060088715287363,0.048804165627773406,2
183,5.005674024259442,rbf,auto,21,0.004817112697203057,-0.8060128019584955,0.048777644578892186,3
211,4.941009065701305,rbf,auto,1,0.004771255136293612,-0.8060132296319017,0.04880576977475012,4
56,4.960175661963354,rbf,auto,17,0.00498970242524471,-0.8060136924328656,0.04879833918768599,5
496,4.978498711281337,rbf,auto,14,0.004874499259353449,-0.8060139839751856,0.04878700518481834,6
359,4.958893151908384,rbf,auto,20,0.00487373632599435,-0.8060140736645582,0.04879940979083082,7
415,5.016151441445466,rbf,auto,12,0.004921417345996476,-0.806014417531596,0.04878062775161615,8
31,4.971693145708855,rbf,auto,9,0.004575798377718904,-0.8060146414228827,0.04879832973749849,9
425,5.02015968928844,rbf,auto,13,0.004946924549066795,-0.8060161334720568,0.048778077057647744,10
436,5.007394884578683,rbf,auto,9,0.0044756072061392,-0.8060174143871007,0.04878487082563143,11
380,4.9793298746104115,rbf,auto,24,0.00468514869662379,-0.8060178116593976,0.04878860860715039,12
45,4.959126737167543,rbf,auto,21,0.004358302950938589,-0.8060178326307588,0.04879954120286867,13
453,4.931721021058615,rbf,auto,11,0.004807576440924537,-0.8060182366305805,0.048803099168488115,14
82,5.038379039538539,rbf,auto,16,0.004973287313054103,-0.806018480733296,0.04877900632463342,15
52,4.953882466759705,rbf,auto,24,0.004715548519562596,-0.8060185226780762,0.04879562346637073,16
473,4.9547253332563335,rbf,auto,29,0.0047225181747891495,-0.8060190335818698,0.048797410336413806,17
72,5.031996809206836,rbf,auto,26,0.004911841716647178,-0.8060197832033531,0.04876671064772651,18
209,5.017029906465095,rbf,auto,21,0.004724828649412141,-0.8060200895195895,0.048776026860584965,19
294,5.008569862122682,rbf,auto,6,0.004700160618067376,-0.8060204404713552,0.04878446784687378,20
78,5.028406329230858,rbf,auto,11,0.004679174971104738,-0.8060205375290315,0.04877991112109376,21
273,5.0162476442845225,rbf,auto,11,0.004661071711284671,-0.8060205871911759,0.04878383895119053,22
351,4.940996859083165,rbf,auto,23,0.004482679092605599,-0.8060206886550839,0.0488038949657531,23
326,4.944920964587997,rbf,auto,12,0.004564747314395644,-0.8060209591559973,0.04880268374290089,24
422,5.035929456538614,rbf,auto,12,0.004783078487797125,-0.8060210047918683,0.0487681844359355,25
200,4.983648607258124,rbf,auto,24,0.004384307429628964,-0.8060214925273026,0.048793984430959066,26
76,4.969841914922532,rbf,auto,16,0.00423430571119153,-0.8060219279288692,0.048801137350387394,27
220,5.0806302117353255,rbf,auto,28,0.004903313625461889,-0.8060233779071393,0.04873843484742173,28
223,5.002797897831963,rbf,auto,24,0.004553356392016365,-0.8060233849597424,0.0487939941793122,29
181,5.036207885419382,rbf,auto,28,0.00481186274237271,-0.8060240804766028,0.04876502566031785,30
265,4.979571119809148,rbf,auto,28,0.0045879780654276585,-0.8060242385080475,0.0487920443178613,31
142,5.025187934020315,rbf,auto,1,0.004806952819119571,-0.8060248727073269,0.04877196382998813,32
109,4.979356765442778,rbf,auto,14,0.004451026709087832,-0.8060249261243673,0.048797200571165815,33
446,4.99611731546533,rbf,auto,29,0.0045335685972229004,-0.806025091292662,0.04878678806876342,34
396,5.038635042291386,rbf,auto,9,0.004721296698433066,-0.8060251273534205,0.04876548902567795,35
444,4.944036640389963,rbf,auto,13,0.004473399654840338,-0.8060251767367026,0.04880806970885578,36
388,5.0598831757937965,rbf,auto,12,0.004839496941035432,-0.806026291746439,0.048749495805671075,37
440,5.061903214944976,rbf,auto,8,0.00465894744159495,-0.806026484406622,0.04875172932502173,38
424,4.983516155156986,rbf,auto,24,0.004421994890657515,-0.806027047914921,0.04879437979078195,39
198,5.082185436898769,rbf,auto,29,0.004703659135676917,-0.8060274535277034,0.04874265894208594,40
400,5.046204734291656,rbf,auto,19,0.0046229809768826525,-0.8060287465673565,0.048761943004648395,41
69,5.038187547620494,rbf,auto,7,0.004684649943683673,-0.8060293454555569,0.04878261892229577,42
494,5.059511820127438,rbf,auto,11,0.00492275703701452,-0.8060297671411195,0.04874818614027098,43
287,5.0330394441392405,rbf,auto,26,0.00454033065231258,-0.8060301110938146,0.04877564770012939,44
95,5.049543754779483,rbf,auto,5,0.004642592812938627,-0.8060303618117874,0.048765355271313884,45
390,4.918316414665327,rbf,auto,27,0.004811493928820588,-0.806030377206431,0.04880372456228326,46
434,5.039204123610759,rbf,auto,24,0.004488180740231019,-0.8060304317162531,0.048775104556090465,47
100,5.087230954832156,rbf,auto,26,0.00465108417405416,-0.8060305984954026,0.04874272775919944,48
360,5.055951754957606,rbf,auto,17,0.004343339879489564,-0.8060309433257619,0.04877043973422806,49
13,4.902652992231974,rbf,auto,25,0.004829160165372797,-0.8060316621767216,0.04879555612365016,50
204,4.976178171326205,rbf,auto,22,0.0041468211035325725,-0.806031932052794,0.04879300046494711,51
302,5.007296270296919,rbf,auto,15,0.0042332614586725915,-0.8060322871707077,0.048785732216720126,52
23,5.004166852005165,rbf,auto,8,0.004223669243390757,-0.8060323255880812,0.0487929664176878,53
468,5.09802967455013,rbf,auto,15,0.004845389276428458,-0.8060332430861002,0.04873511819237104,54
105,5.010563995381582,rbf,auto,10,0.0040478057773925685,-0.8060333471799739,0.048791929228338006,55
312,5.045219117212481,rbf,auto,11,0.004661591412418062,-0.8060336144791416,0.048769147693465735,56
394,5.044820665854628,rbf,auto,16,0.004246978257826597,-0.8060338906565215,0.048772322783471024,57
477,5.030902242856228,rbf,auto,27,0.004341271612661465,-0.8060343093943269,0.048778132399979746,58
267,4.934177517478013,rbf,auto,19,0.004105307365766763,-0.8060346438426746,0.04880503596831976,59
94,5.090785715400518,rbf,auto,21,0.004418470111331295,-0.8060346623145929,0.048740729563372096,60
307,4.950359811781391,rbf,auto,5,0.004134994139045392,-0.8060347136564692,0.048801521808276155,61
246,4.926623385717496,rbf,auto,3,0.004477034188435997,-0.8060347164504742,0.04880185618116138,62
224,4.95959189030839,rbf,auto,10,0.004312818543733726,-0.8060349944525405,0.04880271689347657,63
313,5.013026636717842,rbf,auto,4,0.003951423185620434,-0.8060351403529111,0.04879575944645677,64
431,5.025955584599231,rbf,auto,23,0.004419929424817129,-0.8060352865320144,0.0487783622454575,65
49,5.029538024108273,rbf,auto,25,0.004091073829612466,-0.8060354941881249,0.048781639379400527,66
467,5.024183103553495,rbf,auto,27,0.004263073295993239,-0.8060357483219633,0.048786745274073284,67
437,5.072025363283585,rbf,auto,11,0.004388304313151902,-0.8060358712381236,0.048762468743325064,68
430,5.055916894713351,rbf,auto,6,0.004004848435649375,-0.8060359085750741,0.04877395952257229,69
262,5.061172977348229,rbf,auto,24,0.004484827123132126,-0.8060362565252024,0.04875797362847517,70
498,5.072024479437841,rbf,auto,6,0.004540093264923201,-0.8060363040872687,0.04874658288555615,71
471,4.964722043829909,rbf,auto,15,0.004094928216785468,-0.8060365579594521,0.04880933225004159,72
392,4.9370265857677245,rbf,auto,16,0.004365729179382042,-0.8060379402556889,0.048805209721939635,73
406,5.00605302652698,rbf,auto,26,0.0036248338576438076,-0.8060382542301866,0.04879945471413407,74
281,5.093005382133303,rbf,auto,14,0.004665690335499773,-0.8060385064703567,0.04873988684928086,75
92,4.956154472488172,rbf,auto,3,0.0038437700715315453,-0.8060389118960132,0.04879955555758531,76
405,4.924113377155456,rbf,auto,2,0.0044259917826164055,-0.8060391588107357,0.048806369917537513,77
349,5.044453386371132,rbf,auto,24,0.00403525074481293,-0.8060393515438244,0.04878148919392171,78
319,5.0674981578004985,rbf,auto,1,0.004350481810310641,-0.8060395263092517,0.04876583519596064,79
26,4.955199836404509,rbf,auto,29,0.004011984903770198,-0.806039674414562,0.0488021694234789,80
93,4.908720754350887,rbf,auto,12,0.004703292921764571,-0.806040153835694,0.04880173856243527,81
279,4.994315237710032,rbf,auto,23,0.0039724472498323124,-0.8060409783318159,0.0487953192822726,82
342,5.0287999086478035,rbf,auto,28,0.0040047488574306055,-0.8060410909963537,0.04879134257886987,83
146,5.031144527076149,rbf,auto,29,0.0042253765548472735,-0.806041113272736,0.04878339233432536,84
346,5.019009795940084,rbf,auto,25,0.004000580426865947,-0.8060415878466248,0.04879662039207966,85
