,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
5,305,0.0709996657782621,9,84,2.587799816000169,35,0.9366527037650917,0.2886152113657516,1,-0.0003252640891963281,0.00019413930355212096,1
0,221,0.0831993941811405,22,78,4.592488919658671,39,0.9901428612819833,0.4207947176588889,1,-0.001098962857524848,0.0004245316464856793,2
9,1467,0.017455064367977082,8,132,1.987156815341724,9,0.960439396150808,0.18951498272501505,1,-0.0014246627122139726,0.0006409333923149084,3
4,1469,0.10422017556848527,15,56,2.3089382562214897,9,0.8026529922319734,0.49599425944984754,1,-0.014577736250886458,0.002320820281185178,4
7,555,0.10266588657937942,32,193,3.2533033076326436,15,0.8790300472003629,0.495256592036068,1,-0.01576106867343647,0.003072488285068628,5
8,863,0.09287375091519294,27,191,5.426960831582485,25,0.8542698063547792,0.4347905167925872,1,-0.02305053284664455,0.0038854088871418924,6
6,1945,0.06200680211778108,43,194,8.422847745949985,4,0.8623422152178822,0.7058970615104422,1,-0.023421405335263955,0.004260818721130328,7
1,1615,0.07508884729488528,3,161,2.1233911067827616,24,0.8285733635843882,0.3803715250276316,1,-0.028464155610991332,0.0049931447505957415,8
2,1684,0.04042422429595378,23,62,3.9986097171525548,25,0.8366809019706868,0.2300067175350296,1,-0.04463327567436479,0.005096553467756385,9
3,1608,0.033277134043030426,48,54,6.803075385877797,3,0.9947511037682919,0.09619900658147928,1,-0.069473152590763,0.01364488985437695,10
