Feature,Importance
Recommended_yes,0.31413296
Value For Money_5.0,0.14605604
Ground Service_1.0,0.09886712
Recommended_no,0.09299963
Cabin Staff Service_5.0,0.05117356
Seat Comfort_1.0,0.04696793
Seat Comfort_4.0,0.04501347
Food & Beverages_3.0,0.035854418
Value For Money_1.0,0.02554532
Food & Beverages_4.0,0.010504316
Ground Service_5.0,0.00603638
Value For Money_2.0,0.0046297587
Seat Comfort_5.0,0.0043811495
Inflight Entertainment_1.0,0.00363444
Cabin Staff Service_4.0,0.0035712693
svm_3.0,0.0032762839
Cabin Staff Service_1.0,0.0030936147
Food & Beverages_5.0,0.0029635539
Value For Money_4.0,0.0029244195
Trip_verified_Trip Verified,0.0029114473
Value For Money_3.0,0.0024785746
bayesian_ridge_3.0,0.002434824
mlp_3.0,0.00234986
Ground Service_2.0,0.0021883345
Food & Beverages_2.0,0.0020246436
Cabin Staff Service_3.0,0.0019279525
rf_8.0,0.0017261786
Year Published_2014.0,0.0016280398
Year Published_2018.0,0.0016241913
Food & Beverages_1.0,0.0016174649
Ground Service_4.0,0.0015796163
Month Published_6.0,0.0015663906
Day Flown_1.0,0.0015600884
Seat Comfort_3.0,0.0014885664
Month Flown_12.0,0.0014732634
Type Of Traveller_Family Leisure,0.0014670454
Seat Comfort_2.0,0.0014118387
Year Flown_2019.0,0.0013634585
Day Published_8.0,0.0013606455
rf_9.0,0.0012814767
Year Flown_2016.0,0.0012583566
Year Flown_2020.0,0.0012339831
Year Published_2015.0,0.0012049143
rf_3.0,0.0011475635
Day Published_28.0,0.00113164
Cabin Staff Service_2.0,0.0011028062
Month Flown_5.0,0.001101827
Ground Service_3.0,0.0010825479
Origin_Dublin,0.0010804242
Year Published_2020.0,0.0010689392
Month Flown_10.0,0.001046488
mlp_2.0,0.0010433783
Day Published_3.0,0.0010356894
Month Published_9.0,0.0010300392
Aircraft_Boeing 737-800,0.0010122611
Year Published_2016.0,0.0009805862
Month Flown_9.0,0.00096250296
Day Published_31.0,0.00095919345
Year Published_2017.0,0.00093992543
knn_1.0,0.00093839923
Month Published_10.0,0.0009001812
Passenger Country_United States,0.0008943668
Type Of Traveller_Couple Leisure,0.0008800777
mlp_8.0,0.00087639026
Type Of Traveller_Solo Leisure,0.00086668256
Month Published_3.0,0.0008645187
rf_10.0,0.00085383566
Food & Beverages_0.0,0.0008389358
Day Published_17.0,0.0008307516
knn_8.0,0.00082863023
mlp_10.0,0.00082659157
Type Of Traveller_Business,0.0008085105
Destination_Stansted,0.0008084065
mlp_4.0,0.00080351776
Month Flown_7.0,0.000779325
Passenger Country_Spain,0.00077333103
Year Flown_2015.0,0.0007708083
bayesian_ridge_4.0,0.00076403376
rf_4.0,0.0007474944
Aircraft_Boeing 737,0.0007408962
Year Published_2022.0,0.00072617794
Year Flown_2018.0,0.000715621
Origin_Stansted,0.00071307144
Day Published_10.0,0.00070352264
Month Flown_8.0,0.0006829252
svm_4.0,0.0006657455
Wifi & Connectivity_1.0,0.0006649144
Month Published_7.0,0.0006565444
Month Published_5.0,0.00064853934
mlp_7.0,0.00063957187
svm_9.0,0.00063947024
bayesian_ridge_2.0,0.0006348927
svm_8.0,0.00063254975
Destination_Barcelona,0.00062969094
Destination_Brussels,0.0006262079
svm_2.0,0.00061717216
Passenger Country_Netherlands,0.0006046002
Destination_Madrid,0.0006042112
Passenger Country_United Kingdom,0.0005964165
rf_6.0,0.0005961809
svm_1.0,0.00059329177
knn_3.0,0.0005883582
bayesian_ridge_6.0,0.0005771205
Month Flown_6.0,0.0005715357
rf_1.0,0.00056826556
Year Published_2013.0,0.00056296214
Passenger Country_Ireland,0.0005372373
bayesian_ridge_9.0,0.00052833743
Day Published_22.0,0.00051907636
Month Published_8.0,0.00051106355
Day Published_2.0,0.0004999626
Day Published_1.0,0.00049404503
Day Published_16.0,0.0004706633
Origin_London,0.0004672565
mlp_1.0,0.00045674888
rf_7.0,0.00043930157
knn_9.0,0.0004337497
Day Published_15.0,0.0004328947
Trip_verified_Verified Review,0.00043202663
Passenger Country_Germany,0.0004098424
Destination_Kraków,0.0
Destination_London Luton,0.0
Destination_Krakow return,0.0
Destination_Liverpool,0.0
Destination_Krakow,0.0
Destination_London,0.0
Destination_LBA,0.0
Destination_London Gatwick,0.0
Destination_London (Stansted),0.0
Destination_Leeds Bradford,0.0
Destination_LGW,0.0
Destination_LIG,0.0
Destination_LIS,0.0
Destination_LPA,0.0
Destination_LPL,0.0
Destination_Lisbon,0.0
Destination_LTN,0.0
Destination_La Rochelle,0.0
Destination_Limoges,0.0
Destination_Lamezia,0.0
Destination_Lanzarote,0.0
Destination_Lanzorote,0.0
Destination_Las Palmas,0.0
Destination_Leeds,0.0
"Destination_Lisbon, Portugal",0.0
Destination_Malaga,0.0
Destination_London Southend,0.0
Destination_Nürnberg,0.0
Destination_Murcia,0.0
Destination_Málaga,0.0
Destination_NUE,0.0
Destination_NYO,0.0
Destination_Nantes,0.0
Destination_Naples,0.0
Destination_Newcastle,0.0
Destination_Newcastle via Dublin,0.0
Destination_Newcastle-upon-Tyne,0.0
Destination_Newquay,0.0
Destination_Nis via Weeze,0.0
Destination_Nuremberg,0.0
Destination_OPO,0.0
Destination_Milán,0.0
Destination_OTP,0.0
Destination_Oporto,0.0
Destination_Oslo,0.0
Destination_Ovda,0.0
Destination_PDL,0.0
Destination_PIK,0.0
Destination_PMI,0.0
Destination_PMO,0.0
Destination_POZ,0.0
Destination_PSA,0.0
Destination_PUY,0.0
Destination_Palermo,0.0
Destination_Morocco,0.0
Destination_Milano Bergamo,0.0
Destination_London Stansted,0.0
Destination_Kos,0.0
Destination_Lourdes,0.0
Destination_Luton,0.0
Destination_Luxembourg,0.0
Destination_MAD,0.0
Destination_MAN,0.0
Destination_MJV,0.0
Destination_MLA,0.0
Destination_MXP,0.0
Destination_Maastricht,0.0
Destination_Madeira,0.0
Destination_Madrid via Berlin,0.0
Destination_Majorca,0.0
Destination_Mallorca,0.0
Destination_Milano,0.0
Destination_Malta,0.0
Destination_Malta and return,0.0
Destination_Manchester,0.0
Destination_Marakkesh,0.0
Destination_Marrakech,0.0
Destination_Marrakech via Madrid,0.0
Destination_Marrakesh,0.0
Destination_Marseille,0.0
Destination_Menorca,0.0
Destination_Milan,0.0
Destination_Milan (Linate),0.0
Destination_Milan Bergamo,0.0
Destination_Kotor,0.0
Destination_Gerona,0.0
"Destination_Knock, Ireland",0.0
Destination_Cyprus,0.0
Destination_Dalaman,0.0
Destination_Denmark,0.0
Destination_Derry,0.0
Destination_Dortmund,0.0
Destination_Dublin,0.0
Destination_Dubrosnik,0.0
Destination_Dusseldorf,0.0
Destination_E.Midlands,0.0
Destination_EDI,0.0
Destination_EDI via LON,0.0
Destination_EMA,0.0
Destination_East Midlands,0.0
Destination_Edinburgh,0.0
Destination_Eindhoven,0.0
Destination_Einhoven,0.0
Destination_FAO,0.0
Destination_FCO,0.0
Destination_FEZ,0.0
Destination_FKB,0.0
Destination_DUB,0.0
Destination_Crete,0.0
Destination_Knock,0.0
Destination_Cracow,0.0
Destination_CGN,0.0
Destination_CHP,0.0
Destination_CHQ,0.0
Destination_CIA,0.0
Destination_CPH,0.0
Destination_CRL,0.0
Destination_Cagliari,0.0
Destination_Carcassonne,0.0
Destination_Cardiff,0.0
