,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,mean_test_score,std_test_score,rank_test_score
7,5.924146688620425,0.4645051271999772,6.075449519014383,0.5115733710618746,-0.8597958504961414,0.04315082914421371,1
4,3.0424234295953774,5.247565316322379,4.3194511864211576,0.8736884205941258,-0.8608794266441728,0.04362263343678299,2
3,8.324427408004217,2.1233921067827617,1.818250672071006,0.5502145295603015,-0.861411077986852,0.043899669460998623,3
9,3.0461386917337068,0.9767221400638387,6.842331265121569,1.3204584812188038,-0.8614409119395559,0.04388688442624066,4
0,3.745402188473625,9.50714406409916,7.319940418114051,1.7959764525911097,-0.8620553830641358,0.04412637026782468,5
5,6.118529947223795,1.3949396065204183,2.9214474853521817,1.099086529881075,-0.8624163486743098,0.044347470478649814,6
8,0.6505169298527952,9.488856372533332,9.656321330745593,2.4251930443493834,-0.8625913209523448,0.0443454244936117,7
6,4.56070084217036,7.851760613930137,1.9967388215835973,1.5427043152408346,-0.8634445141294694,0.0447585607994207,8
1,1.560187404424365,1.5599462033620264,0.5808371216819946,2.598529437324806,-0.867019109459999,0.04623198796607693,9
2,6.011151117432088,7.080726777960455,0.20584594295802447,2.909730556485983,-0.8679923211734678,0.046571204314196764,10
