,w_knn,w_rf,w_svm,w_bayesian_ridge,mae
27,0.8464614788964759,0.13102180436925637,0.7084023080322481,0.7645446630332529,1.068230277185501
25,0.7068421646200708,0.03879569791442661,0.22721995645275228,0.21374934638905718,1.070362473347548
20,0.6971458367674973,0.04032912992693183,0.744703444539651,0.7318011124268468,1.072494669509595
24,0.3635952961005252,0.004228342407173069,0.367238999441306,0.5708173112325085,1.072494669509595
13,0.984213152136646,0.3596890571150698,0.13559535061323347,0.7691338047173533,1.072494669509595
8,0.9380356766314936,0.6732467131035582,0.8435955186081864,0.11217630094375908,1.072494669509595
9,0.3150688415254356,0.6095442338287367,0.9898118896954811,0.4517168070772637,1.072494669509595
17,0.10042592796188199,0.0688211786934998,0.17446340163445073,0.3628951703527372,1.0746268656716418
0,0.7668585406165664,0.5352335585044525,0.045062137541627134,0.894738895214213,1.0767590618336886
23,0.2933751196577953,0.2368090561625592,0.1322410308073917,0.9204247281777567,1.0767590618336886
11,0.7786316874856104,0.408678469601666,0.3537533083099549,0.3490494518878906,1.0767590618336886
26,0.3785107562569673,0.23699023050325907,0.41518831958776947,0.5110364373166226,1.0788912579957357
3,0.10705480819543045,0.2790751287748515,0.7207178974387363,0.5660449884638789,1.0788912579957357
2,0.7873701827099026,0.6964245800747708,0.6604518388984604,0.05070843702411432,1.0788912579957357
18,0.9021775198452437,0.9648913576541367,0.731411594004518,0.3773830784961648,1.0788912579957357
19,0.2615407002939789,0.40092655661057897,0.39685461780949705,0.6310590915362356,1.0788912579957357
21,0.25453437298601644,0.1852279705524923,0.16754451751111687,0.14623287446839595,1.0810234541577826
12,0.9840104201877343,0.23538328793743468,0.2251012590347682,0.1718835512682918,1.0810234541577826
7,0.14176512903753824,0.1931159841496659,0.6713372175892155,0.53411235403025,1.0810234541577826
28,0.015154864938622281,0.4638069515219063,0.6401719772370391,0.8577332626970016,1.0810234541577826
1,0.3178484864831954,0.6721984881135129,0.45082327768181396,0.5121314769457768,1.0810234541577826
10,0.7305896914708166,0.8893440447904831,0.5762250300193648,0.5206491230625476,1.0831556503198294
22,0.41048363980473335,0.30341565750403476,0.21914104064571216,0.12584407469418712,1.0831556503198294
14,0.7330226916750477,0.5354190923425162,0.07806776702274443,0.5031871816395911,1.0852878464818763
6,0.9430982391446487,0.7683334685026223,0.030218445369304403,0.7065072463736023,1.0874200426439233
5,0.9797151720254282,0.7493689089449239,0.15215072907982474,0.6747484558445431,1.0874200426439233
29,0.07219205099163983,0.2920523257980586,0.9327183445494944,0.05474213906745784,1.0874200426439233
16,0.14592520373971085,0.8714488933817811,0.7638310551335437,0.08689677462215017,1.1002132196162047
4,0.029254761756186465,0.6660948040451042,0.8638742682355985,0.03627405596274358,1.1023454157782515
15,0.028886328975272102,0.8556144757451604,0.20554748731292583,0.6656637061279739,1.1044776119402986
