,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
72,1500,0.049924769784894026,6,5,0.6075552222935728,0.8996473971450123,1.0179247262040374,0.23732679173599447,1.5285913918433203,2.4436315546465455,-0.7029666143602677,0.035646437940218594,1
75,823,0.09689940665042343,4,19,0.8385825587026248,0.476619484126412,2.4241973241508026,0.507710378684455,1.1483682473920354,2.050875601494591,-0.7158697201237649,0.04320227454650568,2
68,1339,0.09250417591074332,14,14,0.9862569958668151,0.5972780822554306,0.6235136251124145,0.7206160613914648,1.477390919062267,5.366006459873325,-0.721924450979744,0.0434814741007436,3
14,1942,0.04184110031487791,5,1,0.006952130531190703,0.8607305832563434,2.441355222477742,0.26951233379852146,1.6829104217293056,5.1075730257756575,-0.7280162843776629,0.04485690992681807,4
28,1509,0.06721435168240507,2,10,0.0704161308495439,0.9300168348108319,8.486797949246744,0.3226507642386005,1.3662133144202881,2.089287176153602,-0.7284877736349646,0.04677440336613816,5
87,1256,0.010321266422519959,16,4,0.7260955860624008,0.2560155318536622,7.072486343133986,0.9225993811772957,1.5253904291426135,5.929729052588216,-0.7288043740751708,0.043550457338420175,6
65,160,0.04126612143575282,3,18,0.18006727234929853,0.6976675736969318,0.4087861626647886,0.19238901880867076,1.6893506307216455,6.965114662270789,-0.730462329877305,0.0456438982146088,7
86,495,0.042459686242048295,14,11,0.3425242571785434,0.9590747945640278,1.3912619414306187,0.9119524088429647,1.007946030158865,2.2736098302998706,-0.7324293185925581,0.04369107958376389,8
76,358,0.015536271527420232,4,13,0.28863055324025577,0.6106200424416326,3.3661427819392062,0.05192353682242691,1.3441467693897424,5.812482214226122,-0.7346320101455761,0.043502528468331796,9
31,781,0.08614046183116754,17,20,0.9818408883105311,0.1550416167277442,3.6020064141126293,0.8227005606596582,1.2706051265188478,8.389435020693632,-0.7379610578719434,0.045605722044861484,10
11,1530,0.03153559810763267,4,5,0.03142918568673425,0.10789142699330445,5.398510913016731,0.6045173792778172,2.030612247347694,6.364204112637804,-0.7392873870785368,0.0486906560872939,11
92,1484,0.05161736824068126,17,20,0.22009721408109706,0.2775871726294181,4.146341237270237,0.14876272775311294,0.8534966807864386,2.1269078434122632,-0.7401380137489368,0.04213814257985825,12
58,1688,0.07509107494699718,3,5,0.691714397168912,0.07535906035246231,8.496573906774115,0.944865729882428,2.4734810174319763,5.34356275029463,-0.7442207164603742,0.039900210018348176,13
25,383,0.08930465551771134,2,1,0.9730105547524456,0.24398964337908358,8.64177565071903,0.6690240596630996,2.3018526824155527,3.9310772466676043,-0.7463020378675443,0.046500725483636145,14
88,1849,0.0737444235624723,8,9,0.6067150463828559,0.5762883601668132,1.228207818457338,0.910786198255713,2.359060345950812,4.24140671302386,-0.7464241849665965,0.03420406541804983,15
84,315,0.08222573046720129,15,4,0.8767656367617495,0.7624586857406905,5.022983474625301,0.6040578720725125,5.398606371128367,3.4209174871590746,-0.7466912414235817,0.04372789666352609,16
17,379,0.03706544560614045,17,6,0.5926967238793935,0.552893089071328,9.83433140894843,0.4704006344460384,3.9882444244455306,0.8086332633271525,-0.746843661403713,0.03971191216935391,17
56,473,0.05525878725440701,5,1,0.08274842003530614,0.9191765518355596,9.872861293149445,0.8106533307818329,1.5041689110352818,8.766714859257927,-0.7468737622794271,0.045960990142188796,18
90,485,0.04155045842036277,11,6,0.603721531730139,0.7877898887144924,4.808469780890736,0.4658001223188132,9.184547249393011,1.1427730005568775,-0.7472786578268609,0.044823444086161235,19
24,787,0.0850223410494178,17,1,0.7464914051180241,0.3253996981592677,3.6772580305943356,0.09377476782809248,2.6520236768172545,6.496428990472147,-0.7480295033640713,0.03737063791936925,20
18,759,0.05091987767407187,16,3,0.7983451249845511,0.8164318732193839,2.202510475655483,0.32605890520188474,7.111495324380178,1.5072754396542947,-0.7482902390811641,0.04297033828978426,21
30,933,0.08910053418175663,15,2,0.7019668772577033,0.6499639307777652,6.720361352951993,0.43857412301808696,3.2815266747473193,7.95802669436101,-0.7487725819805944,0.03752012107768163,22
97,551,0.09897287819554429,14,11,0.7208130963105066,0.5567215847833661,1.4109184877771357,0.9445097255772734,4.06392308273522,8.053249673579051,-0.7511215185060653,0.04219294805608734,23
89,760,0.0333146412654939,19,8,0.18632087949412068,0.16552051036728976,7.442596518432888,0.37940569838554883,2.055798083756375,8.375007890024921,-0.7521494102013484,0.04779626858025791,24
69,1629,0.07506162320085874,13,18,0.6871655054033311,0.13311692858747826,3.971738325040825,0.35424667079312544,1.048691665324809,8.444506726336288,-0.753356594179516,0.04336750774589736,25
59,587,0.06071746344508801,1,17,0.12915941515149498,0.4505441353100935,3.581727180328405,0.6182282404578958,1.1355759219962902,9.540610272587223,-0.7537933423369864,0.03993878580714798,26
