,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
220,1595,0.02377843093113854,11,20,0.7718577261816213,0.315189521097359,9.368324620330919,0.5602681834618419,0.5225787928602377,0.8643461076254648,-0.8020059466673192,0.007947178258804644,1
640,1405,0.023772047585383295,5,17,0.5884312404534523,0.8131420044817255,7.389404553494722,0.5977324398689003,0.29169892290743293,2.1077309942990623,-0.8024066117886515,0.021400104702116673,2
672,654,0.04609816696781009,17,17,0.6495429586036605,0.5665181655878301,8.855694435856314,0.15963995668842357,0.10010410559136429,3.02633182928755,-0.8052591714445589,0.02111433380673955,3
887,1120,0.030643276608787084,15,19,0.7086808385119051,0.5511413361947338,8.956629195831768,0.1968587776716556,1.0559839602614096,1.144481635168481,-0.805329830354709,0.013868403306250776,4
1053,1685,0.05142385720964592,7,20,0.42499524041986325,0.42424570320658006,7.216585442517358,0.325807335086999,0.7466164464522407,1.40788340012232,-0.8062879347448411,0.009324892163279419,5
271,1652,0.0878090581018189,12,6,0.7942106625494054,0.1248208139668483,5.129124161471975,0.9492121430894405,0.936724207059102,2.7577756825135697,-0.8064024655913686,0.0013290313966531908,6
1410,506,0.01209401838575358,17,10,0.44373827741116434,0.31189014980442453,9.982078792878575,0.34253280838237676,0.03504663531058272,1.2057449582200035,-0.8064094911730836,0.02312838189466193,7
624,1495,0.013132043317233588,11,13,0.7955783762575864,0.42294354374155774,5.449922781000179,0.8401188319206985,0.8678295406499048,1.413935542163402,-0.8069468061465678,0.010552870613403487,8
981,1577,0.005327637227220573,13,14,0.36695783181699526,0.286660581287023,8.12938405393937,0.1038747086347407,0.388736970166893,0.8390796062890931,-0.8077151513195076,0.01622134808339676,9
51,771,0.09642225394406113,12,13,0.8685991281894603,0.28571208628186073,3.226963882775837,0.5561050386425845,0.4340078329817276,2.2360583851945264,-0.8077222072407773,0.0149732596260706,10
652,1466,0.04006580020857537,19,11,0.9649286015018259,0.3770077119587446,7.013735603104414,0.2578784882039913,0.14372951777777643,2.735520290019369,-0.8084878592283224,0.018133965425470466,11
425,1325,0.05484714898623187,9,5,0.43377056601801756,0.5004773158667182,3.252211962762113,0.5731422006190157,0.3926941424165231,2.495130796827418,-0.8086430097025301,0.013334657567278307,12
361,997,0.0046319278960894605,11,11,0.37448039996801696,0.7066342634675964,4.839993681797472,0.6617842883998565,0.05313475668345946,3.694919340313803,-0.8089798414951677,0.021502655682342164,13
838,1287,0.04629252042057351,13,16,0.5823955084085031,0.8824701949431355,7.11275824710453,0.2647495049987615,0.9998524748377668,1.2685392689259716,-0.809453375754853,0.012212059455083024,14
1086,774,0.09108236408320604,19,16,0.6033255656445984,0.35390566721181704,2.9339967558297837,0.32489891538036053,0.3341799470505946,3.1201130610845036,-0.8095127168372316,0.011402880178235486,15
86,495,0.042459686242048295,14,11,0.3425242571785434,0.9590747945640278,1.3912619414306187,0.9119524088429647,1.007946030158865,2.2736098302998706,-0.8098312878872753,0.014736835359012046,16
389,948,0.0539022705363903,7,13,0.8622029736581888,0.7770492856517561,9.404292073007468,0.7652603288167663,0.15823171996820817,3.1388549672247055,-0.8103742833295681,0.02659839790204499,17
223,522,0.0861139693349435,11,9,0.5233909113743664,0.5612227882825249,5.43548217342646,0.7079350972297687,0.8172534574677826,1.1477887186921747,-0.8110055135684979,0.014455391389491035,18
419,674,0.04186669958169948,15,19,0.7147532764439458,0.5621888110645251,6.617877324716385,0.9385821582141546,0.7680304831442153,0.6846045256601678,-0.8113172605591623,0.017631127374706457,19
207,701,0.05396956673430391,4,10,0.6878841098799151,0.6149782403411324,8.326904693470432,0.8400639802821825,0.11031614262465794,3.7526990444266635,-0.8124546991465136,0.019806458122800574,20
75,823,0.09689940665042343,4,19,0.8385825587026248,0.476619484126412,2.4241973241508026,0.507710378684455,1.1483682473920354,2.050875601494591,-0.8127050956265827,0.01163620795575998,21
601,1289,0.030512384946803618,14,6,0.45507563552038444,0.29795493131686546,7.677746177143376,0.808057328109019,1.1396588711924116,1.6356379453018737,-0.8128127305903318,0.00060945239568444,22
1214,1024,0.06223846080738289,5,11,0.4335451231573596,0.7395244342672245,9.591409329279143,0.0477152275705517,0.7187525370862446,2.3960488296539135,-0.8130417909466676,0.02251700529939632,23
1116,1092,0.06825260298866503,7,16,0.8733841643710475,0.5013964785953243,9.262181744006837,0.713557360434044,0.8843758733550244,0.8401171452062566,-0.8132601706849084,0.014913639083198982,24
756,1693,0.07673040711189001,10,13,0.47517086602262826,0.9476236585206671,5.376935217551004,0.5930827009674321,0.04712425522241159,3.172691743568676,-0.8133998713270117,0.01501887416110026,25
1434,1818,0.038849737856896466,3,19,0.7902827353728418,0.725853084338395,4.705514860459752,0.29740059922563933,0.932139258926985,2.8882672571762154,-0.8134895679928469,0.01062011947246183,26
788,1125,0.0696881574368485,14,15,0.36785069460745845,0.887608329493955,9.055921375731321,0.8195278536703651,1.1975996643219722,1.428341104868826,-0.8135234180744055,0.015156445180881772,27
1184,1271,0.008177921387434362,6,16,0.9321617192136323,0.1002318781762861,6.94551974037274,0.5137526718213296,0.5548394206791063,3.7454615245104113,-0.8137122037040345,0.006054529822630883,28
240,1665,0.03826119398672002,3,19,0.3795029033747186,0.3897593874264921,4.790800631033512,0.8024543291592642,0.18000088945214987,2.2674038292351066,-0.813970364030411,0.03056404060558887,29
1078,1091,0.08459503772726042,16,20,0.9173489015067489,0.5583844775702219,9.081995956965027,0.3282471805150686,0.9695212359898775,3.9148973033401577,-0.8142265064842866,0.013735938416760074,30
1376,1571,0.016662005941017133,18,13,0.3453966620635961,0.9919266183081108,5.829629493645202,0.855408368184012,0.6952154025319546,4.110507805746114,-0.8143428750577775,0.011454499909403226,31
301,104,0.06909997373089434,17,18,0.538813009039619,0.7249811699240525,2.302609207105147,0.4974124461689724,0.4456382344867915,0.6063892606646819,-0.8145103611026259,0.015879761406607573,32
646,1214,0.07185613826485358,5,1,0.6480303180552142,0.17478498788336594,4.126882483791492,0.0049684076555032266,1.0045754968096843,2.4546446253893044,-0.8146736389039214,0.0022053890920649133,33
1177,615,0.072324857808426,10,2,0.63545717961889,0.9488638458947966,9.546475133600557,0.05531762675040565,1.2857726079687848,1.5591124353994683,-0.8157818599468143,0.013317297222437074,34
979,496,0.016637042551318593,17,8,0.2960655100389471,0.4765679435800185,0.4733453013642135,0.56291261095363,0.4122781399906039,5.149394953924828,-0.8158685331171566,0.017958541854155796,35
1369,1305,0.08029203922559827,9,20,0.3878450996858469,0.5416415078330531,2.6358295091860104,0.21659056726611736,2.0852754029918774,1.0108649237174265,-0.8160346808847878,0.010020865364737619,36
119,1453,0.06087367948788592,13,14,0.9427317741351257,0.2316717013834434,3.841006114912496,0.04704535714781301,0.36731937426613626,6.496566489923684,-0.816133543442439,0.0075379083299536576,37
1121,1717,0.004754152121906808,13,12,0.7134619483664998,0.07763188524979514,9.534458247578351,0.2813600203804746,0.535446508926749,0.03587544600031346,-0.8172898154613901,0.012139792853485154,38
1219,385,0.05134332325693152,13,5,0.7836383021478366,0.7395102331570648,9.879853209773703,0.7614886651049474,0.08084676530010881,3.018491202475155,-0.8178310994692675,0.02385816520798772,39
727,1915,0.08316357646860893,13,16,0.8733108732577283,0.646365112123656,8.744851032836424,0.5232580008059826,0.4343335723563746,0.41654022339980323,-0.8185324953128403,0.019994777103858108,40
983,1440,0.07112098483162649,19,9,0.42555587769671754,0.9969905028125511,7.195684132654349,0.45437072436042525,1.0745321644188655,3.482406397073687,-0.8185544170272854,0.011296282663632862,41
521,225,0.022492458779658952,11,20,0.42815517303011985,0.18492029746714433,3.3016595031560443,0.49305697165586004,1.0680070400236363,0.6143512925983268,-0.818728454908106,0.012877610026766184,42
706,422,0.07506142843877735,8,19,0.6220091888089806,0.7537682020450523,6.225853978327817,0.48259306052766293,0.10046981054831594,5.400893219221958,-0.8188329039907885,0.023444465395085268,43
1215,948,0.049951446098905714,6,14,0.9021942901223785,0.5794484192486897,4.858305588603991,0.20884588239862922,0.8597373527921159,0.11914468847850347,-0.819044073501703,0.021448923930267094,44
143,1823,0.05984758626319302,3,9,0.6608201182992507,0.4843984475740406,0.8163998203058958,0.7316895217553319,0.603520839905638,5.5301145259195845,-0.8194103937978596,0.007993002439650787,45
123,1374,0.02536490939608851,6,8,0.7352126545234527,0.9315894883189899,4.958857350787708,0.7235201136885849,0.8104621590764793,2.814009605775268,-0.8195957406762767,0.014093317912829528,46
855,1355,0.042211890443408166,16,13,0.2957528346203294,0.7902599039416938,1.9669855823121312,0.13647110502945836,0.553323871633461,4.9566392088324704,-0.8198286203418648,0.028101320722446033,47
316,962,0.02910291936489059,13,5,0.4632936532727968,0.5156594058564534,7.655567505158608,0.12796680122241755,0.00011634755366141114,0.45413281468692546,-0.82003930827744,0.01628174225830653,48
1256,123,0.06463308128295218,7,20,0.2243668276923797,0.3501048042845637,8.32768668452714,0.7082473345985572,1.2151116953766616,3.5285411837350007,-0.820176542573614,0.010825342327862364,49
159,1804,0.06059539226905409,9,1,0.3485736672419705,0.5771852367117482,7.524377626155725,0.9934369373586285,0.9048169528705075,1.5929744524280514,-0.8205036018187959,0.007795491748380179,50
630,1393,0.08240035744469348,16,11,0.6267533485423312,0.3753213457730138,8.685628307858376,0.9799035353809381,1.7396088769622553,1.4610656554132022,-0.8210003816213265,0.010338585302478609,51
410,724,0.07348831308025414,5,6,0.949899668246076,0.682153161561635,2.179187082520135,0.04534918901888786,0.15176882286826898,1.370994580787565,-0.8214240026825583,0.01150484658882217,52
990,219,0.09375656116580063,4,2,0.28893701665758265,0.8721060637465811,1.5810233728284877,0.522793774044537,1.247361132216791,0.8625917130396492,-0.8216376348079151,0.012213573967077618,53
686,1425,0.0673052540505362,14,2,0.6983379712794027,0.9926255484528702,7.032097847754869,0.017813850609389014,0.2170009527554162,2.9380447065432755,-0.8216765807349709,0.013434481598646575,54
461,751,0.0467181591127557,12,6,0.3648224702077987,0.7302217177572492,9.113491900786308,0.3587215819535914,0.20934117826733267,6.409755280987577,-0.8219043888436006,0.00712026494899054,55
1172,898,0.04734621139148905,5,5,0.4824514703811176,0.3535488542043371,2.1394378280104727,0.20237318174203034,0.05803768842941093,5.973593009778531,-0.8222618430181008,0.015295123281641343,56
1368,387,0.04956359404155895,8,19,0.6595303190299806,0.1308635259433787,3.448991741731833,0.5945738549126189,0.3490585907310928,5.476406513801775,-0.8223223249905203,0.02187045688057926,57
1021,1166,0.07789844259884544,15,12,0.8628792840992251,0.632696041403513,9.226331491291074,0.6540313600171203,0.5671995355173787,0.798664245822565,-0.8224856959637867,0.012423910568039653,58
103,709,0.0141018538660449,6,8,0.7202025816322958,0.4974648939798906,6.650466745462555,0.6006168604336534,1.753712786234496,1.0658873012867436,-0.8224886198676514,0.012525407167750191,59
1266,1141,0.04650702854312367,16,16,0.4583770391386607,0.5729936441135929,0.7760558197614902,0.2816742858555302,1.4508944663913825,2.7705559628342242,-0.8225632871012816,0.0046752844510551395,60
265,1831,0.03758035677817964,3,6,0.8354802363823276,0.1300477825111387,5.453911212183025,0.9949579730593215,0.8820170378987069,3.704069862753065,-0.8225793333760298,0.006710357419993651,61
93,1441,0.006807647738842748,19,19,0.5021950103312426,0.9968742518459474,1.9069772066366657,0.20523964048200716,0.3654966784809488,5.953950173200438,-0.8233060284403351,0.011569935943508858,62
731,973,0.023307857786616506,18,12,0.9032736222389142,0.6614662053236519,4.151171768549325,0.8571290283305779,0.8933990229186684,0.9855685141294239,-0.8233317244567159,0.010779566609778302,63
502,404,0.09572918815133614,7,19,0.8461242105302316,0.8969952893644111,4.86183654104883,0.06253132727778034,1.090136156409287,1.828233885392259,-0.8237619461146882,0.014499795752049849,64
61,174,0.07856682639443097,14,2,0.48004596701847513,0.5899558971376361,1.3638147558676976,0.21306416150891072,0.14544665667881929,4.205457786650751,-0.8241116850949142,0.01043006994354373,65
335,844,0.045168647493891316,16,6,0.3732598144627589,0.7037923109905077,2.495343668382487,0.5258562195591349,0.020185177482339167,5.636699710287622,-0.8247249264690684,0.020220263128436555,66
1148,959,0.010582264094076555,2,1,0.7499869843799752,0.583386232327748,3.345309741432973,0.5700828190453161,0.08831843422734464,5.098999482056102,-0.8248291202465856,0.006509144731196792,67
1462,1529,0.020597994320434555,14,10,0.7708984043188025,0.3839601263173785,9.028370117268217,0.2039783426215992,2.759441474126463,1.428199257826696,-0.8248458857805043,0.011939600822403862,68
442,810,0.019600898043861583,15,10,0.4709500587725145,0.2535841169963692,8.655723831722035,0.2531263409202532,1.028425921574767,4.922423151824082,-0.8249232463641349,0.0042781189449470625,69
317,1208,0.09740781629723329,7,7,0.5225101810855884,0.4165658284822922,2.304266621173499,0.3040425122550273,0.01473822086311416,0.5464442000097229,-0.8250724444197439,0.01264179179745284,70
1067,1264,0.030581314464513242,7,10,0.30535321354778977,0.46639361736038054,5.335997301104086,0.9864821716288922,1.1310575650171983,4.2920058196003446,-0.8254697177244967,0.005189255420726457,71
76,358,0.015536271527420232,4,13,0.28863055324025577,0.6106200424416326,3.3661427819392062,0.05192353682242691,1.3441467693897424,5.812482214226122,-0.8256332863050337,0.007742963268553338,72
324,1667,0.03129840203264185,15,4,0.4353242214552362,0.6710552838599144,9.065822106721628,0.3873372711780959,0.16061864981006146,5.493197714801039,-0.8259872540752806,0.007473877444868882,73
1118,125,0.04314219080879669,15,17,0.8301829666176939,0.6237422454995412,1.090099898629761,0.8290298911930121,1.0812335247709604,3.604730291492556,-0.8260355118777418,0.013491944067823114,74
1493,579,0.022092454803937425,4,14,0.7481102411599355,0.4645384635244192,8.076696015747801,0.9905657320615764,1.8818416916794556,2.216738430873883,-0.8261126179715594,0.012011976186067808,75
880,1942,0.08939645917048274,4,16,0.7776803762748927,0.3614653284985154,7.296884136472412,0.9507063715798728,0.5204583875613145,7.3881138326818965,-0.8263562413656054,0.00961666140605738,76
433,240,0.05141830837567789,8,12,0.7514529444593436,0.5660716464481651,8.05658805363342,0.832463539660995,2.2431855885352627,1.3197531962396174,-0.8268781306083847,0.020315077865520448,77
289,1891,0.047696773101165595,16,18,0.38512011990250006,0.49857079950570915,3.6982325598717662,0.3688071708647952,0.523550201874724,8.658301652223551,-0.8268884858681742,0.0048200524214144225,78
629,1020,0.0268997266884378,18,14,0.25283740069028926,0.7374314414271221,7.193981555748202,0.25725235110909583,0.2812150627792376,0.6729461292151455,-0.8270937005652446,0.024613798728680802,79
417,514,0.08246236107489736,13,17,0.3809912736683999,0.22123869644606398,9.32564878419312,0.3033858908492829,1.186437657415803,8.084157388936909,-0.8279783969686929,0.00934079201345056,80
183,932,0.08630144822726227,4,14,0.822480563634361,0.640972077345332,7.648198009029954,0.6063529377509774,1.7483862726041255,1.3253467274184842,-0.8283111109268761,0.009340266196687874,81
1223,1385,0.08772033622249849,18,3,0.5102159340784042,0.1867462845973269,8.74261876684336,0.23106634821603156,1.7101085441822839,5.291132676604384,-0.8285037108755673,0.014872208461261471,82
1430,1257,0.04622705331522717,13,1,0.8086080319094565,0.35336945954175103,0.9164820517572785,0.38213483041127094,1.122727583289096,2.358460518998711,-0.8286094259697524,0.0055907907340990715,83
1200,297,0.08434577277107876,15,1,0.7062129859650655,0.07167937967533466,4.893001575037625,0.7069194450101439,1.9094885887544288,0.33981321332950887,-0.8288664500603671,0.0012941159754812914,84
876,706,0.07451266857143703,5,15,0.8878593497355527,0.9421579170299933,8.702066904922422,0.031274909111921226,1.3865252911330372,1.0227428099711604,-0.8288893329743392,0.014208991268948312,85
429,1437,0.07982110725787629,10,14,0.5654199676077424,0.1305012641171842,8.049737303992545,0.3406448354798969,0.5239129559486122,4.422622765195591,-0.8289159989775615,0.004438752129026224,86
1140,303,0.060752586705053374,8,10,0.41469811830512815,0.2523340044132276,3.218566352013203,0.6277198739827059,2.464779095767362,0.8235216309672171,-0.8289757701629032,0.017464172092594876,87
367,1904,0.032551180017534216,13,14,0.9390684794502916,0.2640619846937188,8.23777395799123,0.6548090753562991,0.6314029292739132,6.363842815333744,-0.8293748961198071,0.004820728358354176,88
906,1991,0.08263084024229825,16,12,0.4412296690917168,0.20607377993717524,1.1100481392181065,0.9037178697987106,1.7712145760241949,0.650107889488885,-0.8293984714415938,0.017424711413614236,89
402,1573,0.03460837455132338,17,19,0.7752440518349493,0.5247356376614322,9.332150877593062,0.6679679067008134,2.6549640742907235,2.344356000115147,-0.8295755220690222,0.009447643037357678,90
1079,469,0.012351914253709384,17,15,0.4514959391194442,0.6064097767438004,5.432300943671609,0.3047358322935767,0.2047708336219789,9.384782123658125,-0.8295866928230564,0.007910673711515881,91
1438,1129,0.019076355814601088,12,10,0.6751438544438484,0.8553361303023147,2.0976851501133504,0.4864501151094953,1.9909639407006974,1.7024303243833054,-0.8296426763641772,0.016305915318567954,92
1128,1743,0.09054739272812877,9,15,0.606316947374532,0.6015485063797061,4.935103640726166,0.9976137456618959,1.7839825192858105,3.650353040388231,-0.8297004538157577,0.013685079585066595,93
861,1819,0.008857557341617472,16,11,0.2923030465548375,0.3095593015130734,5.375037536732345,0.41301118958921323,0.4929966240916994,8.110972462002584,-0.8298695433589236,0.012148007685219675,94
1072,145,0.0973894389387695,12,7,0.5037734437246341,0.5910953805356141,4.813927117484274,0.8631287792502848,0.7852718594157282,6.459615311120451,-0.8300618788930811,0.012971792958228201,95
602,232,0.0647407375228089,18,15,0.8343247957493986,0.6439079570677647,6.389730219732845,0.03447685835172522,0.8144721289115919,5.773634012196677,-0.8303271755376582,0.013078542802972104,96
1164,1510,0.03717106570377841,4,18,0.4778906609457496,0.967859924081416,9.82054622786384,0.16584901538845487,0.9624649114071637,7.274072938459515,-0.8303348740346206,0.004854162410573182,97
755,205,0.0282791647509266,16,6,0.656179036222687,0.549428612288516,4.271224464193341,0.09362012359790951,1.2875443736805547,3.822473200144914,-0.8303865675938573,0.011414880666957061,98
472,1815,0.013317965775387176,15,2,0.8143867792687614,0.08613213906368034,1.1646893048171252,0.024210193408666824,1.2709624021843924,2.8034475255141253,-0.830412480037336,0.0030226311840098607,99
