,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
392,15,distance,ball_tree,26,19.32942966552975,euclidean,-0.8148990525134131,0.052810898028963056,1
741,15,distance,ball_tree,195,16.20017946948237,manhattan,-0.8172003437546902,0.0576435846732646,2
1474,9,distance,ball_tree,138,5.9369817528800475,euclidean,-0.8175562609107334,0.05758173797622077,3
16,9,distance,ball_tree,89,24.167343078899723,minkowski,-0.8183025531896619,0.05882593983375706,4
1225,17,uniform,ball_tree,45,12.162467648886878,manhattan,-0.818810472479441,0.05218457226846569,5
536,9,distance,kd_tree,133,25.571905415849685,minkowski,-0.81917121202902,0.05500767063888034,6
909,13,distance,ball_tree,94,21.231989554419446,manhattan,-0.8194243318962304,0.05337044024622811,7
533,13,distance,brute,21,10.690335951586416,manhattan,-0.8199129608725476,0.05754041396294679,8
923,13,distance,brute,164,1.3085348780707609,manhattan,-0.8199129608725476,0.05754041396294679,8
746,13,distance,brute,80,29.845400169492542,manhattan,-0.8199129608725476,0.05754041396294679,8
651,18,distance,ball_tree,93,9.285086734626985,manhattan,-0.8200674256075672,0.05759035249125543,11
700,8,distance,ball_tree,80,5.850143087108857,manhattan,-0.8201573999233105,0.05261285794567785,12
292,13,uniform,ball_tree,12,19.507807551272265,minkowski,-0.8207351201528279,0.05147995552884617,13
664,16,distance,auto,31,12.134848443572254,manhattan,-0.8210426648661002,0.057430489254094205,14
1407,14,uniform,ball_tree,80,30.9495626971287,manhattan,-0.8215193990799923,0.056767278372787604,15
297,12,distance,auto,192,3.020518044063151,euclidean,-0.8215532409242382,0.05389398646778566,16
432,11,uniform,ball_tree,130,23.627606330315892,manhattan,-0.8216597367694766,0.05757461679970976,17
885,10,distance,kd_tree,96,16.165262811695918,manhattan,-0.8217048789851852,0.054430632647259704,18
1167,13,distance,kd_tree,116,30.273364556467982,euclidean,-0.8217528592838408,0.04912532679790741,19
1368,12,distance,ball_tree,41,16.944377388454626,euclidean,-0.8222264539257248,0.05443017491882573,20
907,16,distance,ball_tree,156,19.45760959847242,euclidean,-0.8222681274557295,0.050065609491765924,21
1397,15,uniform,kd_tree,72,20.665299155383376,euclidean,-0.8222843776439557,0.0507028154524497,22
237,12,uniform,brute,168,19.992941900723427,manhattan,-0.8223095937225237,0.05553866609121913,23
330,12,uniform,auto,106,8.413097020304393,manhattan,-0.8223095937225237,0.05553866609121913,23
404,13,distance,brute,70,16.57179372724811,euclidean,-0.8223542832615742,0.05844578049760649,25
850,13,distance,brute,144,4.9024200948684085,euclidean,-0.8223542832615742,0.05844578049760649,25
441,13,distance,brute,133,1.3636232393167982,euclidean,-0.8223542832615742,0.05844578049760649,25
90,8,distance,brute,81,12.56189862896695,manhattan,-0.822386407401589,0.043081996177651974,28
