,param_hidden_layer_sizes,param_activation,param_solver,param_alpha,param_learning_rate,param_max_iter,param_early_stopping,mean_test_score,std_test_score,rank_test_score
44,"(100,)",relu,sgd,0.03259344887239372,adaptive,522,True,-0.8196026918929753,0.03490771005927258,1
8,"(50, 50, 50)",relu,sgd,0.026619018884890575,adaptive,614,True,-0.8285902392946275,0.044290864689881915,2
3,"(50, 50, 50)",relu,sgd,0.0004335281794951569,constant,509,True,-0.8352677373378808,0.048557032622870804,3
46,"(50, 50, 50)",relu,sgd,0.08841074088520717,adaptive,946,True,-0.8427243311509462,0.0520019672299262,4
10,"(50, 100, 50)",relu,sgd,0.0014899847475658245,adaptive,437,True,-0.843692201771767,0.04905511163491061,5
26,"(50, 50, 50)",tanh,sgd,0.004164120360093468,adaptive,574,True,-0.8512589190852152,0.03720432415444709,6
40,"(50, 50, 50)",relu,adam,0.004048778818153414,constant,173,True,-0.8513231547354787,0.04041885802577023,7
11,"(50, 100, 50)",relu,adam,0.0036324869566766076,adaptive,871,True,-0.8525779312303742,0.03787469954641985,8
23,"(50, 50, 50)",relu,sgd,0.003029610442821251,constant,64,True,-0.8542007959871647,0.04423103814033868,9
2,"(100,)",tanh,sgd,0.006358358856676255,adaptive,358,True,-0.8573079447958794,0.019760110075722644,10
5,"(100,)",logistic,sgd,0.00026210878782654407,adaptive,736,True,-0.8633270283371981,0.0327009260285394,11
22,"(50, 50, 50)",relu,adam,0.035216117382054275,adaptive,552,True,-0.8660929868164183,0.06174510924028838,12
39,"(50, 50, 50)",tanh,sgd,0.01529850686893746,adaptive,659,True,-0.8678484463070685,0.03574457969612462,13
14,"(50, 100, 50)",tanh,sgd,0.001465655388622534,constant,102,True,-0.8689091132608059,0.0367229400982446,14
48,"(100,)",logistic,sgd,0.012620410750629136,adaptive,201,True,-0.8714377817734714,0.033368337340444074,15
37,"(50, 100, 50)",tanh,sgd,0.000523221608994876,constant,733,True,-0.8719879416127764,0.025752519647822728,16
49,"(100,)",tanh,sgd,0.008435191341743056,constant,469,True,-0.8722582189435624,0.04928212116727278,17
15,"(50, 50, 50)",relu,adam,0.07866216981266846,constant,206,True,-0.8723647053552701,0.04453530256140494,18
31,"(50, 50, 50)",tanh,sgd,0.028447512555118206,constant,408,True,-0.8739822284041707,0.03939304727979281,19
