,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
94,1402,,96,13,5,True,-0.7771770779521542,0.04149616207841891,1
24,1193,,143,14,4,True,-0.7781124485983131,0.042108655752126675,2
38,1382,,124,17,6,True,-0.7794920397438341,0.04109073105511569,3
95,1306,,13,31,3,True,-0.7796541148827795,0.039603500333084435,4
77,870,,192,23,5,True,-0.7799991345221231,0.04114740869039641,5
39,1379,,148,20,4,True,-0.7802294256612746,0.0409245917567107,6
12,1285,,48,15,8,True,-0.7868144428254501,0.041171124293054584,7
21,1048,,142,16,9,True,-0.7895123702781616,0.04208075964760761,8
62,794,,194,3,10,True,-0.7909230817701952,0.04374118776068761,9
16,401,,136,18,11,True,-0.7912785875392283,0.04394407028569947,10
35,776,,68,18,11,True,-0.7920354901432838,0.04338942515821592,11
29,1258,,198,38,9,True,-0.7920728378981658,0.041991151800381356,12
45,1164,,99,17,16,True,-0.7978584169170617,0.04468311251306968,13
6,610,,73,5,18,True,-0.7979074319662288,0.042551566502078246,14
5,656,,170,4,15,True,-0.7979663221084003,0.04397340134055741,15
52,1408,,176,23,19,True,-0.7987960352191997,0.042942458810946965,16
40,560,,147,34,20,True,-0.799102820672557,0.04223793341125425,17
25,587,,187,29,22,True,-0.8006500205899572,0.04078077812399916,18
30,1266,,172,33,22,True,-0.8009402598408709,0.041176404055054426,19
1,1492,,122,12,23,True,-0.8014303167521935,0.04073526145723409,20
68,314,,186,23,22,True,-0.8017611521966327,0.04093682513948618,21
93,987,,192,36,17,False,-0.8161454406514679,0.049487769487257645,22
37,618,,139,17,16,False,-0.8176707945380259,0.04678894096822152,23
87,406,,74,30,12,False,-0.8194456028993125,0.04925804334633202,24
59,1194,,116,33,21,False,-0.831455247980111,0.05235104401918185,25
73,750,,63,27,23,False,-0.83175739091658,0.05162975207490413,26
42,272,,151,36,10,False,-0.8325214739231726,0.047859745342942066,27
2,353,,117,3,22,False,-0.8330816548887714,0.05616337477700676,28
84,905,,24,29,2,False,-0.8542971031565012,0.0658021227757467,29
51,649,,128,18,3,False,-0.856718432088531,0.055950050198096,30
8,44,,84,9,7,False,-0.8624843283878507,0.05975634390369724,31
99,1058,sqrt,117,13,3,False,-0.9672343233955185,0.04658285414646677,32
92,466,sqrt,21,11,4,False,-1.0126139284227405,0.04760865824942711,33
65,330,sqrt,135,21,4,False,-1.015535101217147,0.055131422756404626,34
44,1024,sqrt,140,33,5,False,-1.052311593216511,0.059891290729302514,35
90,835,sqrt,115,5,7,False,-1.0836486665363558,0.05765551873821319,36
23,494,sqrt,52,31,4,True,-1.0866902108285574,0.060591483346481796,37
70,783,sqrt,53,5,7,False,-1.0932654602283312,0.060536963221073124,38
76,1305,sqrt,118,2,8,False,-1.1229332585142506,0.057169308826165895,39
20,512,sqrt,131,27,5,True,-1.1273274421475719,0.06114197582155887,40
17,144,sqrt,163,29,5,True,-1.1330271824475844,0.06985899213548749,41
57,1070,sqrt,46,36,6,True,-1.1640033925778428,0.060426444659018,42
63,768,sqrt,161,30,11,False,-1.180768888972026,0.05619755230368017,43
15,1377,sqrt,65,10,7,True,-1.1911743256182858,0.05575724973167535,44
41,482,sqrt,104,29,11,False,-1.2021029422390415,0.05657479883080944,45
18,814,log2,72,24,1,True,-1.2120517223009675,0.06299994212947257,46
56,167,sqrt,49,29,12,False,-1.2377275600422508,0.06178823300942737,47
58,1132,sqrt,93,32,14,False,-1.257078406086709,0.06654136615627933,48
75,1129,log2,58,35,1,True,-1.2579440826566564,0.05889125610192498,49
89,1031,sqrt,90,27,10,True,-1.2899120330900673,0.054543413060554324,50
97,85,sqrt,177,20,9,True,-1.2902585660031014,0.05386719878828206,51
55,556,sqrt,197,20,16,False,-1.3015821341851612,0.05769684391249714,52
91,1409,sqrt,114,30,11,True,-1.3142388111587233,0.05918403231559369,53
72,666,sqrt,52,31,18,False,-1.330391409063446,0.06208748214543397,54
86,1450,sqrt,171,4,12,True,-1.339501149448512,0.05505562354921594,55
22,752,sqrt,42,33,19,False,-1.3483429056951568,0.06578963124015667,56
28,1292,sqrt,129,14,20,False,-1.3591437823184223,0.060676505253357174,57
36,207,sqrt,24,35,20,False,-1.37757051774205,0.06913961289722247,58
50,825,sqrt,161,22,14,True,-1.4024290726975221,0.06514118763757716,59
0,1054,sqrt,180,9,15,True,-1.4128097892677451,0.07354121191031669,60
54,888,log2,21,29,1,True,-1.4174437720307453,0.06704336110456827,61
13,888,sqrt,190,19,16,True,-1.4300905226781937,0.054614805677868035,62
32,708,sqrt,113,18,17,True,-1.4737471294641045,0.05195920767800258,63
96,708,sqrt,62,14,22,True,-1.5959483892308126,0.06028295905457316,64
83,525,sqrt,186,6,24,True,-1.606986793473348,0.06050551277398746,65
3,1194,log2,158,22,2,False,-1.61788744158689,0.05559413669158676,66
49,966,log2,110,36,2,False,-1.6234261351796213,0.05003841542528746,67
88,736,log2,95,36,2,False,-1.6377051538132328,0.06322089386529267,68
34,1449,log2,147,27,2,True,-1.8261922920515299,0.0720226654627105,69
85,966,log2,84,34,3,False,-1.883716292024205,0.06747338967263765,70
48,923,log2,112,26,3,True,-2.1367643754053893,0.06981984741427488,71
19,622,log2,172,2,3,True,-2.1487655200774496,0.04215901533511137,72
81,531,log2,33,24,5,False,-2.2347291135699967,0.05627585746428334,73
53,1316,log2,158,9,6,False,-2.333400754965159,0.07649713902079171,74
79,967,log2,29,31,5,True,-2.457270155573562,0.06137046762111363,75
9,1035,log2,81,5,8,False,-2.4698713792290183,0.093894295247058,76
7,574,log2,14,27,9,False,-2.5129758369433848,0.043183198930294514,77
60,575,log2,67,32,10,False,-2.5691223159809633,0.04589833215185014,78
