,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
93,19.579114478929643,rbf,auto,2,0.03896413231023363,-0.7864593781699507,0.03518202023104959,1
22,56.12434358477011,rbf,auto,3,0.1195952459383017,-0.8100430270445154,0.04179752009951933,2
8,38.54165125399161,rbf,auto,5,0.230894825622149,-0.8117784704696233,0.03880095173203445,3
35,28.484050437746763,poly,auto,1,0.266782014275285,-0.8147207044756113,0.03261363397380611,4
80,91.52137376264804,sigmoid,auto,2,0.23978835915740324,-0.817956802280959,0.04073278510175216,5
54,32.53997081592677,rbf,auto,4,0.3664697845828599,-0.82179620416223,0.03823414543589307,6
4,0.7066315219717406,rbf,scale,9,0.2912301401980419,-0.8222455943461948,0.04790753347751779,7
1,15.599453033620264,sigmoid,auto,8,0.3337096111390218,-0.8398567080344662,0.03739781578782342,8
21,32.518333202674704,rbf,auto,3,0.5912987877077271,-0.8406646704603155,0.04164163576373822,9
37,23.956190066697243,sigmoid,auto,2,0.5309355833171364,-0.8421115791615156,0.035274912091202204,10
76,41.135391505667855,sigmoid,auto,3,0.6374309014982066,-0.8465098046091304,0.03790323142072648,11
87,64.97736926427633,sigmoid,auto,6,0.6350946508676438,-0.8470232280664401,0.04247785916311305,12
14,96.11720343493491,rbf,auto,5,0.388678289689482,-0.8500923689395682,0.05337901769196594,13
5,13.949387065204183,sigmoid,auto,3,0.3824629912671627,-0.8504246557614634,0.037287281995211544,14
48,33.90298010487007,rbf,auto,3,0.7003588299727713,-0.8511539473223756,0.04239690610994834,15
89,65.8693641618945,rbf,auto,4,0.6158521643899139,-0.8530244412877206,0.04820065964812379,16
97,28.20345825713065,rbf,auto,5,0.7506157516408584,-0.8551706424797526,0.040382253608862856,17
90,94.42516071251673,rbf,auto,4,0.575475177875879,-0.8581364420909378,0.05373861902759619,18
74,32.66512517960408,sigmoid,auto,8,0.7699945530986109,-0.8611448551256851,0.03405187235380312,19
49,85.63243018780925,sigmoid,auto,6,0.7798765458576239,-0.8624915616339635,0.04286441551509488,20
43,9.617656109142075,rbf,auto,9,0.690938738102466,-0.8643745852162645,0.03221425587236612,21
75,62.289048581900026,sigmoid,auto,4,0.8420240750119814,-0.8655029116441527,0.0385438273634946,22
69,0.5184872773986776,sigmoid,scale,4,0.7982961789667752,-0.8671997482250848,0.030156441713547328,23
32,69.24360428902703,sigmoid,auto,8,0.9429107039125192,-0.8793375925472781,0.03631897708874744,24
92,62.593968010157276,rbf,auto,1,0.9611915638239142,-0.889080827685957,0.042860684717900714,25
17,39.488152817556966,rbf,scale,8,0.005523117123602399,-0.9052436606199947,0.051409539602817925,26
31,0.6952140531190704,linear,auto,8,0.534090419375442,-0.9082181750465657,0.06373201708064864,27
65,61.50072366991697,rbf,scale,6,0.35864778129616387,-0.9117744790684817,0.05512857935680256,28
55,72.09399342521293,rbf,scale,1,0.5425412305548993,-0.9207761391018305,0.05339974867861876,29
61,95.30718570239532,rbf,scale,1,0.55276596683549,-0.9214427823289253,0.0532495845641413,30
81,18.286600710730735,rbf,scale,5,0.6382715938433504,-0.9244328512326163,0.05045793678922507,31
82,65.71113385001668,rbf,scale,5,0.6117217462343523,-0.9256746746932182,0.05235386668613413,32
23,76.07850586168973,rbf,scale,7,0.770968179954561,-0.9442895106902437,0.05096607868520163,33
77,97.58520894625346,rbf,scale,3,0.7951871947687037,-0.948113094136507,0.05093407883305673,34
63,85.11366815168569,poly,scale,3,0.1694937466860925,-0.9504318725993336,0.06304963222781519,35
30,22.793517254194168,rbf,scale,9,0.8180157659224931,-0.9513396221084125,0.049707063346944,36
66,29.529059841893876,rbf,scale,1,0.8486707949246745,-0.957202774580684,0.05071518186801132,37
47,9.31027778058992,rbf,scale,5,0.9004190571633305,-0.9580585230814833,0.04710893532285651,38
